scenario_id,c_timestep,money_distribution_timestep,income_distribution_rule_timestep,growth_rule_timestep,spending_label_timestep,topology_label_timestep,event_large_event_rate_timestep,mean_event_fraction_timestep,propagated_share_total_timestep,event_occupancy_timestep,c_period,money_distribution_period,income_distribution_rule_period,growth_rule_period,spending_label_period,topology_label_period,event_large_event_rate_period,mean_event_fraction_period,propagated_share_total_period,event_occupancy_period
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_income__topo-er_k24,0.1,equal,uniform,preferential_debt,high_income,er_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_income,er_k24,0.0,0.0083333333333333,0.0,0.0055555555555555
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_income__topo-ba_k6,0.1,equal,uniform,preferential_debt,high_income,ba_k6,0.0,0.0083333333333333,0.0,0.0032467532467532,0.1,equal,uniform,preferential_debt,high_income,ba_k6,0.0,0.0089912280701754,0.048780487804878,0.1055555555555555
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_income__topo-ba_k12,0.1,equal,uniform,preferential_debt,high_income,ba_k12,0.0,0.0083333333333333,0.0,0.0033783783783783,0.1,equal,uniform,preferential_debt,high_income,ba_k12,0.0,0.008578431372549,0.0,0.0944444444444444
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_income__topo-ba_k24,0.1,equal,uniform,preferential_debt,high_income,ba_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_income,ba_k24,0.0,0.0083333333333333,0.0,0.0722222222222222
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_income__topo-sw_k6,0.1,equal,uniform,preferential_debt,high_income,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_income,sw_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_income__topo-sw_k12,0.1,equal,uniform,preferential_debt,high_income,sw_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_income,sw_k12,0.0,0.0083333333333333,0.0,0.0027777777777777
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_income__topo-sw_k24,0.1,equal,uniform,preferential_debt,high_income,sw_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_income,sw_k24,0.0,0.0083333333333333,0.0,0.0055555555555555
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,0.1,equal,uniform,preferential_debt,high_wealth,complete,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_wealth,complete,0.0,0.0083333333333333,0.0,0.0027777777777777
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-er_k6,0.1,equal,uniform,preferential_debt,high_wealth,er_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_wealth,er_k6,0.0,0.0083333333333333,0.0,0.0111111111111111
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-er_k12,0.1,equal,uniform,preferential_debt,high_wealth,er_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_wealth,er_k12,0.0,0.0083333333333333,0.0,0.0111111111111111
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-er_k24,0.1,equal,uniform,preferential_debt,high_wealth,er_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_wealth,er_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-ba_k6,0.1,equal,uniform,preferential_debt,high_wealth,ba_k6,0.0,0.0083333333333333,0.0,0.0059347181008902,0.1,equal,uniform,preferential_debt,high_wealth,ba_k6,0.0,0.0091269841269841,0.0434782608695652,0.1166666666666666
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-ba_k12,0.1,equal,uniform,preferential_debt,high_wealth,ba_k12,0.0,0.0083333333333333,0.0,0.0028169014084507,0.1,equal,uniform,preferential_debt,high_wealth,ba_k12,0.0,0.0086111111111111,0.032258064516129,0.0833333333333333
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-ba_k24,0.1,equal,uniform,preferential_debt,high_wealth,ba_k24,0.0,0.0083333333333333,0.0,0.002906976744186,0.1,equal,uniform,preferential_debt,high_wealth,ba_k24,0.0,0.0086021505376344,0.03125,0.0861111111111111
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-sw_k6,0.1,equal,uniform,preferential_debt,high_wealth,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_wealth,sw_k6,0.0,0.0083333333333333,0.0,0.0027777777777777
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-sw_k12,0.1,equal,uniform,preferential_debt,high_wealth,sw_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_wealth,sw_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-sw_k24,0.1,equal,uniform,preferential_debt,high_wealth,sw_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_wealth,sw_k24,0.0,0.0083333333333333,0.0,0.0027777777777777
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-complete,0.1,equal,uniform,preferential_debt,high_both,complete,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_both,complete,0.0,0.0104166666666666,0.2,0.0111111111111111
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k6,0.1,equal,uniform,preferential_debt,high_both,er_k6,0.0,0.0083333333333333,0.0,0.0021141649048625,0.1,equal,uniform,preferential_debt,high_both,er_k6,0.0,0.0083333333333333,0.0,0.0361111111111111
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k12,0.1,equal,uniform,preferential_debt,high_both,er_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_both,er_k12,0.0,0.0083333333333333,0.0,0.0388888888888888
