scenario_id,scenario_base_id,scenario_index,protocol,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_settlements_completed,mean_checks_completed,mean_capped_periods,mean_max_uncapped_period_length_steps,mean_max_period_length_steps,mean_avalanche_count,event_count,events_per_run,events_per_period,event_timestep_rate,event_occupancy,event_period_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_repeat_default_share,mean_unique_default_nodes,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p40__money-equal__income-biased__growth-random__spend-high_wealth__topo-sw_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-sw_k24,3139,timestep_settle_check,0.4,120,equal,biased,random,high_wealth,0.04,0.2,sw_k24,sw,24,1,1.0,0.0,20.0,2239.0,2239.0,2239.0,0.0,240.0,240.0,8.0,8,8.0,0.4,0.0035730236712818,0.0035730236712818,0.2,0.0,1.25,0.0104166666666666,1.0,2.0,2.0,2,1.0,0.25,0.2,0.8,1852.0,1839.0,0.0,0.3924375,0.0,10.0,24.0,0.5360359849066942,0.060380736442456
c-0p40__money-equal__income-biased__growth-preferential_debt__spend-low__topo-er_k6,money-equal__income-biased__growth-preferential_debt__spend-low__topo-er_k6,3151,timestep_settle_check,0.4,120,equal,biased,preferential_debt,low,0.01,0.1,er_k6,er,6,1,1.0,0.0,20.0,860.0,860.0,860.0,0.0,240.0,240.0,4.0,4,4.0,0.2,0.0046511627906976,0.0046511627906976,0.2,0.0,1.25,0.0104166666666666,1.0,1.7000000000000002,1.97,2,1.0,0.25,0.2,0.8,677.0,722.0,0.0,0.2322708333333334,0.0,5.0,6.0,0.0471512746512746,0.3429177636002437
c-0p50__money-equal__income-uniform__growth-random__spend-high_income__topo-complete,money-equal__income-uniform__growth-random__spend-high_income__topo-complete,4020,timestep_settle_check,0.5,120,equal,uniform,random,high_income,0.02,0.4,complete,complete,0,1,1.0,0.0,20.0,5653.0,5653.0,5653.0,0.0,304.0,304.0,4.0,4,4.0,0.2,0.0007075888908544,0.0007075888908544,0.2,0.0,1.25,0.0104166666666666,1.0,1.7000000000000002,1.97,2,1.0,0.25,0.2,0.8,3457.0,5274.0,0.0,0.2388125000000001,0.0,5.0,119.0,1.0,0.0
c-0p60__money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,5080,timestep_settle_check,0.6,120,equal,uniform,preferential_debt,high_wealth,0.04,0.2,complete,complete,0,1,1.0,0.0,20.0,5937.0,5937.0,5937.0,0.0,360.0,360.0,101.0,101,101.0,5.05,0.0170119589018022,0.0170119589018022,0.9,0.0,1.2475247524752475,0.0103960396039603,1.0,2.0,4.0,6,1.0,0.2475247524752475,0.1984126984126984,0.8015873015873016,907.0,649.0,0.0,0.1984166666666666,0.1111111111111111,112.0,119.0,1.0,0.0
c-0p80__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-complete,money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-complete,7060,timestep_settle_check,0.8,120,equal,uniform,preferential_debt,baseline,0.02,0.2,complete,complete,0,1,1.0,0.0,20.0,9980.0,9980.0,9980.0,19.0,571.0,500.0,190.0,190,190.0,9.5,0.0190380761523046,0.0190380761523046,0.95,0.0,1.2473684210526317,0.0103947368421052,1.0,2.0,3.0,4,1.0,0.2473684210526315,0.1983122362869198,0.8016877637130801,594.0,954.0,0.0,0.2668888888888889,0.4978902953586498,119.0,119.0,1.0,0.0
c-0p40__money-pareto__income-biased__growth-preferential_debt__spend-high_both__topo-complete,money-pareto__income-biased__growth-preferential_debt__spend-high_both__topo-complete,3990,timestep_settle_check,0.4,120,pareto,biased,preferential_debt,high_both,0.04,0.4,complete,complete,0,1,1.0,0.0,20.0,4059.0,4059.0,4059.0,0.0,240.0,240.0,110.0,110,110.0,5.5,0.02710027100271,0.02710027100271,1.0,0.0,1.2454545454545454,0.0103787878787878,1.0,2.0,3.9099999999999966,6,1.009090909090909,0.2363636363636363,0.1897810218978102,0.8102189781021898,160.0,632.0,0.2792642140468226,0.5260172798216276,0.2335766423357664,105.0,119.0,1.0,0.0
c-0p50__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-complete,money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-complete,4060,timestep_settle_check,0.5,120,equal,uniform,preferential_debt,baseline,0.02,0.2,complete,complete,0,1,1.0,0.0,20.0,2223.0,2223.0,2223.0,0.0,300.0,300.0,25.0,25,25.0,1.25,0.0112460638776428,0.0112460638776428,0.65,0.0,1.24,0.0103333333333333,1.0,2.0,2.759999999999998,3,1.0,0.24,0.1935483870967742,0.8064516129032258,382.0,971.0,0.0,0.2217152777777777,0.0,31.0,119.0,1.0,0.0
c-0p60__money-lognormal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,money-lognormal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,5680,timestep_settle_check,0.6,120,lognormal,uniform,preferential_debt,high_wealth,0.04,0.2,complete,complete,0,1,1.0,0.0,20.0,5639.0,5639.0,5639.0,0.0,360.0,360.0,125.0,125,125.0,6.25,0.0221670508955488,0.0221670508955488,1.0,0.0,1.232,0.0102666666666666,1.0,2.0,4.52000000000001,5,1.016,0.216,0.1753246753246753,0.8246753246753247,67.0,636.0,0.4854207119741101,0.2266504854368931,0.2662337662337662,113.0,119.0,1.0,0.0
c-0p30__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k12,money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k12,2098,timestep_settle_check,0.3,120,equal,uniform,preferential_debt,high_both,0.04,0.4,sw_k12,sw,12,1,1.0,0.0,20.0,2225.0,2225.0,2225.0,0.0,180.0,180.0,13.0,13,13.0,0.65,0.0058426966292134,0.0058426966292134,0.5,0.0,1.2307692307692308,0.0102564102564102,1.0,2.0,2.0,2,1.0,0.2307692307692307,0.1875,0.8125,749.0,1517.0,0.0,0.2452847222222223,0.0,16.0,12.0,0.4977309958559958,0.0980126598020963
c-0p40__money-uniform__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k12,money-uniform__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k12,3292,timestep_settle_check,0.4,120,uniform,uniform,preferential_debt,high_both,0.04,0.4,er_k12,er,12,1,1.0,0.0,20.0,3960.0,3960.0,3960.0,0.0,240.0,240.0,65.0,65,65.0,3.25,0.0164141414141414,0.0164141414141414,1.0,0.0,1.2307692307692308,0.0102564102564102,1.0,2.0,3.0,3,1.0,0.2307692307692307,0.1875,0.8125,73.0,1040.0,0.353136278331168,0.2506676772051392,0.125,70.0,12.0,0.1014431098370725,0.27322660517925
c-0p30__money-equal__income-biased__growth-preferential_debt__spend-high_income__topo-er_k12,money-equal__income-biased__growth-preferential_debt__spend-high_income__topo-er_k12,2172,timestep_settle_check,0.3,120,equal,biased,preferential_debt,high_income,0.02,0.4,er_k12,er,12,1,1.0,0.0,20.0,1417.0,1417.0,1417.0,0.0,180.0,180.0,22.0,22,22.0,1.1,0.0155257586450247,0.0155257586450247,0.6,0.0,1.2272727272727273,0.0102272727272727,1.0,2.0,2.0,2,1.0,0.2272727272727272,0.1851851851851851,0.8148148148148148,428.0,691.0,0.0,0.29475,0.0,27.0,12.0,0.1056038710315025,0.2908719331277624
c-0p40__money-equal__income-biased__growth-random__spend-high_income__topo-complete,money-equal__income-biased__growth-random__spend-high_income__topo-complete,3120,timestep_settle_check,0.4,120,equal,biased,random,high_income,0.02,0.4,complete,complete,0,1,1.0,0.0,20.0,2506.0,2506.0,2506.0,0.0,240.0,240.0,22.0,22,22.0,1.1,0.00877893056664,0.00877893056664,0.25,0.0,1.2272727272727273,0.0102272727272727,1.0,1.0,4.369999999999997,5,1.0,0.2272727272727272,0.1851851851851851,0.8148148148148148,1368.0,2036.0,0.0,0.4014375000000001,0.5925925925925926,11.0,119.0,1.0,0.0
c-0p60__money-normal__income-uniform__growth-preferential_debt__spend-baseline__topo-complete,money-normal__income-uniform__growth-preferential_debt__spend-baseline__topo-complete,5460,timestep_settle_check,0.6,120,normal,uniform,preferential_debt,baseline,0.02,0.2,complete,complete,0,1,1.0,0.0,20.0,3910.0,3910.0,3910.0,0.0,360.0,360.0,67.0,67,67.0,3.35,0.0171355498721227,0.0171355498721227,1.0,0.0,1.2238805970149254,0.0101990049751243,1.0,2.0,3.680000000000007,5,1.0,0.2238805970149253,0.1829268292682926,0.8170731707317073,7.0,817.0,0.2861295681063123,0.2389119601328904,0.048780487804878,78.0,119.0,1.0,0.0
c-0p20__money-equal__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k12,money-equal__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k12,1175,timestep_settle_check,0.2,120,equal,biased,preferential_debt,high_income,0.02,0.4,ba_k12,ba,12,1,1.0,0.0,20.0,715.0,715.0,715.0,0.0,120.0,120.0,9.0,9,9.0,0.45,0.0125874125874125,0.0125874125874125,0.45,0.0,1.2222222222222223,0.0101851851851851,1.0,2.0,2.0,2,1.0,0.2222222222222222,0.1818181818181818,0.8181818181818182,184.0,451.0,0.0,0.2071597222222223,0.0,11.0,12.0,0.1721668642039925,0.5783517448238059
c-0p40__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-er_k24,money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-er_k24,3063,timestep_settle_check,0.4,120,equal,uniform,preferential_debt,baseline,0.02,0.2,er_k24,er,24,1,1.0,0.0,20.0,1499.0,1499.0,1499.0,0.0,240.0,240.0,9.0,9,9.0,0.45,0.0060040026684456,0.0060040026684456,0.3,0.0,1.2222222222222223,0.0101851851851851,1.0,2.0,2.0,2,1.0,0.2222222222222222,0.1818181818181818,0.8181818181818182,409.0,1101.0,0.0,0.2131041666666666,0.0,11.0,24.0,0.2049726399297031,0.1839950180484968
c-0p40__money-equal__income-biased__growth-preferential_debt__spend-high_wealth__topo-sw_k24,money-equal__income-biased__growth-preferential_debt__spend-high_wealth__topo-sw_k24,3189,timestep_settle_check,0.4,120,equal,biased,preferential_debt,high_wealth,0.04,0.2,sw_k24,sw,24,1,1.0,0.0,20.0,2274.0,2274.0,2274.0,0.0,240.0,240.0,45.0,45,45.0,2.25,0.0197889182058047,0.0197889182058047,0.75,0.0,1.2222222222222223,0.0101851851851851,1.0,2.0,3.0,3,1.0,0.2222222222222222,0.1818181818181818,0.8181818181818182,470.0,755.0,0.0,0.3497916666666667,0.0,55.0,24.0,0.5595358390514759,0.0674004753252829
c-0p50__money-pareto__income-biased__growth-random__spend-low__topo-er_k24,money-pareto__income-biased__growth-random__spend-low__topo-er_k24,4903,timestep_settle_check,0.5,120,pareto,biased,random,low,0.01,0.1,er_k24,er,24,1,1.0,0.0,20.0,1242.0,1242.0,1242.0,0.0,300.0,300.0,18.0,18,18.0,0.9,0.0144927536231884,0.0144927536231884,0.55,0.0,1.2222222222222223,0.0101851851851851,1.0,2.0,2.8299999999999983,3,1.0,0.2222222222222222,0.1818181818181818,0.8181818181818182,863.0,908.0,0.3329411356379286,0.6018499236429267,0.3181818181818182,15.0,24.0,0.2040899055825172,0.1693362587236369
c-0p40__money-normal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-er_k12,money-normal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-er_k12,3482,timestep_settle_check,0.4,120,normal,uniform,preferential_debt,high_wealth,0.04,0.2,er_k12,er,12,1,1.0,0.0,20.0,2388.0,2388.0,2388.0,0.0,240.0,240.0,18.0,18,18.0,0.9,0.007537688442211,0.007537688442211,0.5,0.0,1.2222222222222223,0.0101851851851851,1.0,2.0,2.8299999999999983,3,1.0555555555555556,0.1666666666666666,0.1363636363636363,0.8636363636363636,37.0,1578.0,0.2756030483764082,0.2600563286944997,0.0454545454545454,21.0,12.0,0.0983126355069078,0.2617604219864388
