scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,fit_status,alpha,bootstrap_p,bounded_alpha,bounded_bootstrap_p,pl_vs_exponential_R,pl_vs_lognormal_R,gate_event_count,gate_not_saturated,gate_has_transition,gate_propagation,gate_tail_plausible,gate_alternative_not_better,soc_screen_score,quick_soc_candidate
stage2__c-0p465__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.465,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5,240.0,66953.0,49.125,1179,49.125,0.2046875,0.010178117048346,1.670907548770144,0.0139242295730844,1.0,3.0,10.440000000000056,30,1.1153519932145886,0.5555555555555556,0.33248730964467,0.6675126903553299,1728.5,30214.95833333333,0.2721842495191286,0.2727889426465226,119.0,1.0,0.0,ok,2.941682581862373,0.8571428571428571,2.937685851861894,0.7142857142857143,50.90015102240364,-0.12319382966576109,True,True,False,True,True,True,5,True
stage2__c-0p745__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.745,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.875,240.0,175884.95833333334,165.79166666666666,3979,165.79166666666666,0.6907986111111111,0.0098014576526765,2.842674038703192,0.0236889503225265,2.0,6.0,11.0,28,1.6682583563709474,1.1744156823322442,0.4131376536115286,0.5868623463884713,5428.166666666667,17883.875,0.0,0.2995405092592593,119.0,1.0,0.0,ok,5.73466174012393,0.47619047619047616,5.7343109937428185,0.5714285714285714,0.4573122117526265,-0.2134611864462972,True,True,False,True,True,True,5,True
stage2__c-0p740__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.74,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.8333333333333334,240.0,168656.29166666666,163.20833333333334,3917,163.20833333333334,0.6800347222222223,0.0097013020168496,2.776359458769466,0.0231363288230788,2.0,6.0,11.0,27,1.6293081439877457,1.1470513147817207,0.4131494252873563,0.5868505747126437,4440.041666666667,17519.916666666668,0.0,0.2919389467592593,119.0,1.0,0.0,ok,6.0437756627571995,0.6666666666666666,6.04348709088357,0.7142857142857143,0.35842830333808084,-0.09515713067679599,True,True,False,True,True,True,5,True
stage2__c-0p685__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.685,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.6666666666666666,240.0,106685.58333333331,104.29166666666669,2503,104.29166666666669,0.4345486111111111,0.0091889732321214,2.127846584099081,0.0177320548674923,1.0,4.0,10.980000000000018,32,1.3004394726328403,0.8274071114662405,0.388847164851671,0.611152835148329,2437.958333333333,21917.45833333333,0.318243869574471,0.2859806100516501,119.0,1.0,0.0,ok,3.1989490036074715,0.047619047619047616,3.1912756835889473,0.19047619047619047,7.175160454929985,-3.4300049918640476,True,True,False,True,True,True,5,True
stage2__c-0p475__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.475,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4583333333333333,240.0,71476.29166666667,55.083333333333336,1322,55.083333333333336,0.2295138888888888,0.0090771558245083,1.7844175491679273,0.014870146243066,1.0,3.0,10.789999999999964,31,1.140695915279879,0.6437216338880484,0.3607460788469691,0.6392539211530309,5703.208333333333,26581.58333333333,0.0,0.2778579282407407,119.0,1.0,0.0,ok,2.9484026452032532,0.7619047619047619,2.9398491312092703,0.6666666666666666,24.76297352855833,-0.055053242546935444,True,True,False,True,True,True,5,True
stage2__c-0p520__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.52,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.625,240.0,109372.5,110.29166666666669,2647,110.29166666666669,0.4595486111111111,0.0090668681526256,2.1605591235360784,0.0180046593628006,1.0,4.0,11.0,25,1.3358519078201738,0.8247072157159048,0.3817100891764294,0.6182899108235705,5195.291666666667,19927.416666666668,0.0,0.2847473958333333,119.0,1.0,0.0,ok,3.050849566315464,0.19047619047619047,3.0444782193243887,0.047619047619047616,20.994392657029163,-5.427408459211574,True,True,False,True,True,True,5,True
stage2__c-0p470__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.47,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4166666666666667,240.0,68941.66666666667,52.208333333333336,1253,52.208333333333336,0.2175347222222222,0.00877893056664,1.790901835594573,0.014924181963288,1.0,3.0,9.960000000000036,38,1.1468475658419792,0.6440542697525937,0.3596256684491978,0.6403743315508021,6194.208333333333,26925.166666666668,0.0,0.272947337962963,119.0,1.0,0.0,ok,3.0488270419306045,0.9523809523809523,3.0424183569789887,0.9523809523809523,21.510191600761694,-0.08877209893711724,True,True,False,True,True,True,5,True
stage2__c-0p725__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.725,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.75,240.0,148403.58333333334,147.58333333333334,3542,147.58333333333334,0.6149305555555555,0.0087521174477696,2.531620553359684,0.0210968379446639,2.0,5.0,11.0,23,1.5172219085262564,1.0143986448334277,0.4006914241106278,0.5993085758893721,1099.0416666666667,19195.625,0.2750982834329142,0.296042445357238,119.0,1.0,0.0,ok,4.291985183820126,0.19047619047619047,4.290630458603092,0.19047619047619047,1.2710219871199167,-1.938689314334626,True,True,False,True,True,True,5,True
stage2__c-0p485__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.485,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4583333333333333,240.0,78071.25,66.70833333333333,1601,66.70833333333333,0.2779513888888889,0.0087445346658338,1.8226108682073705,0.015188423901728,1.0,3.0,10.0,36,1.1623985009369144,0.660212367270456,0.3622344071281699,0.63776559287183,5560.5,24986.5,0.0,0.277160300925926,119.0,1.0,0.0,ok,2.957872704257609,0.6190476190476191,2.9495479366993957,0.6190476190476191,25.358176416547686,-0.23131962287338936,True,True,False,True,True,True,5,True
stage2__c-0p715__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.715,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.6666666666666666,240.0,136461.875,135.625,3255,135.625,0.5651041666666666,0.0086021505376344,2.470660522273425,0.0205888376856118,2.0,5.0,11.0,22,1.4599078341013825,1.010752688172043,0.4091022133797563,0.5908977866202437,4716.708333333333,18134.041666666668,0.0,0.2856331018518518,119.0,1.0,0.0,ok,4.612435471234966,0.6190476190476191,4.611393286385485,0.6666666666666666,2.547945437514552,-0.4220815952749506,True,True,False,True,True,True,5,True
stage2__c-0p735__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.735,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.6666666666666666,240.0,160702.75,157.16666666666666,3772,157.16666666666666,0.6548611111111111,0.0084835630965005,2.6903499469777308,0.022419582891481,2.0,6.0,11.0,25,1.6155885471898197,1.0747613997879109,0.3994875837603469,0.6005124162396531,2195.7916666666665,18015.58333333333,0.3108327737269808,0.2980569811157041,119.0,1.0,0.0,ok,4.258083280677878,0.23809523809523808,4.256610450841642,0.14285714285714285,0.023152582849740533,-2.9485571577256318,True,True,False,True,True,True,5,True
stage2__c-0p550__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.55,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.7083333333333334,240.0,148098.375,148.66666666666666,3568,148.66666666666666,0.6194444444444445,0.0081278026905829,2.568665919282511,0.0214055493273542,2.0,5.0,11.0,24,1.5299887892376682,1.038677130044843,0.4043644298963448,0.5956355701036552,5216.75,17595.208333333332,0.0,0.2889140625,119.0,1.0,0.0,ok,4.368213444714848,0.2857142857142857,4.366370330200158,0.42857142857142855,2.394774224584311,-0.5209861326461223,True,True,False,True,True,True,5,True
stage2__c-0p685__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.685,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.625,240.0,107165.20833333331,103.25,2478,103.25,0.4302083333333333,0.0080710250201775,2.1218724778046814,0.0176822706483723,1.0,4.0,11.0,23,1.3276836158192091,0.7941888619854721,0.3742868010650437,0.6257131989349562,5366.875,22858.75,0.0,0.2833365162037037,119.0,1.0,0.0,ok,3.3367315926353145,0.09523809523809523,3.331417144205257,0.14285714285714285,1.693990008767921,-3.835349241679651,True,True,False,True,True,True,5,True
stage2__c-0p500__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.5,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5833333333333334,240.0,91000.95833333331,82.70833333333333,1985,82.70833333333333,0.3446180555555556,0.0080604534005037,1.9304785894206549,0.0160873215785054,1.0,4.0,10.160000000000082,36,1.224685138539043,0.705793450881612,0.3656054279749478,0.6343945720250522,1042.4583333333333,24554.916666666668,0.2735824588067261,0.2800909556466308,119.0,1.0,0.0,ok,2.9623007720924277,0.09523809523809523,2.9540809983017784,0.14285714285714285,17.17109589316784,-2.642041677326135,True,True,False,True,True,True,5,True
stage2__c-0p495__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.495,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4583333333333333,240.0,86437.33333333333,77.79166666666667,1867,77.79166666666667,0.3241319444444444,0.0080342795929298,1.9732190680235675,0.0164434922335296,1.0,4.0,11.0,22,1.2447777182645956,0.7284413497589716,0.3691639522258415,0.6308360477741585,5802.041666666667,23704.08333333333,0.0,0.2777965856481482,119.0,1.0,0.0,ok,3.0560925565012296,0.14285714285714285,3.0498170761417396,0.09523809523809523,8.819094799619187,-3.622613163958404,True,True,False,True,True,True,5,True
stage2__c-0p725__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.725,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.6666666666666666,240.0,147181.41666666666,149.5,3588,149.5,0.6229166666666667,0.007803790412486,2.550167224080268,0.0212513935340021,2.0,5.0,11.0,29,1.5320512820512822,1.0181159420289856,0.3992349726775956,0.6007650273224043,2656.5,18944.916666666668,0.3209071472940265,0.2945938529894995,119.0,1.0,0.0,ok,5.373784128676821,0.7619047619047619,5.37330168792838,0.7619047619047619,1.2284162682556485,-0.12806678035102514,True,True,False,True,True,True,5,True
