scenario_id,scenario_base_id,c,money_distribution,income_distribution_rule,growth_rule,spending_label,topology_label,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
stage2__c-0p745__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.745,equal,uniform,random,high_wealth,complete,3979,20,1,28,30,ok,10,5.73466174012393,0.0341078913116295,89,12,-171.0990342925091,20,20,0.47619047619047616,0.03412309741872768,0.05037122397769362,ok,0.6715867158671587,0.39811213380290555,0.4573122117526265,0.2408856502349463,0.8096437441654244,0.23969234856288602,0.715131335178184,True,False,24,-0.2134611864462972,-0.36000810789571835,0.7188410703164737,ok,120,10,5.7343109937428185,0.0340894572854058,89,12,-171.09849557709254,20,20,0.5714285714285714,0.034837165386286506,0.04696099912784086,0.0005387154165532593
stage2__c-0p740__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.74,pareto,uniform,random,high_wealth,complete,3969,22,1,24,30,ok,13,6.506210973814809,0.0345369445907705,41,13,-82.51620296205328,20,20,0.8095238095238095,0.0387668758458387,0.05119798961184778,ok,0.6917293233082707,0.36856055117271336,-0.3607727319483629,-0.504057151592924,0.6142212160983753,1.8390820154274088,0.42986058869689375,True,False,24,-0.3190554267712127,-0.5289081293687877,0.5968691823331012,ok,120,13,6.505942428709725,0.03452197484956199,41,13,-82.51604503520464,20,20,0.7619047619047619,0.04085583434689073,0.05548724871425365,0.0001579268486437968
stage2__c-0p565__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.565,equal,uniform,random,high_both,complete,3959,20,1,29,30,ok,11,6.35779915990607,0.04972032910631308,76,13,-142.45765697236493,20,20,0.3333333333333333,0.04192392782574,0.059928272128710894,ok,0.6607142857142857,0.4144337780909248,1.027908264313796,0.5678856926066423,0.570112587567854,-9.334552526651859,1.5027754998988434,True,False,24,-0.008365778625204712,-0.07738372304502664,0.938318289080166,ok,120,11,6.357647587768755,0.04972793221807653,76,13,-142.45749546019653,20,20,0.23809523809523808,0.042185065139714706,0.05462606413265639,0.00016151216840398774
stage2__c-0p740__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.74,equal,uniform,random,high_wealth,complete,3917,21,1,27,30,ok,11,6.0437756627571995,0.033458648171013905,57,12,-110.86714296181482,20,20,0.6666666666666666,0.03631117380563782,0.049331149667710815,ok,0.6779661016949152,0.3886579897917832,0.35842830333808084,0.2812166623624992,0.7785442254203798,-0.06748434262701863,0.7461012491399652,True,False,24,-0.09515713067679599,-0.26757015719496485,0.7890302046946949,ok,120,11,6.04348709088357,0.033443825057377086,57,12,-110.86688260648158,20,20,0.7142857142857143,0.036650261000729906,0.052282053993312615,0.0002603553332392039
stage2__c-0p560__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.56,normal,uniform,random,high_both,complete,3903,21,1,22,30,ok,10,5.63439124794295,0.04173006498323484,92,12,-179.20939613243291,20,20,0.38095238095238093,0.03715941343009018,0.053717905429287165,ok,0.6771929824561403,0.389798991363765,0.04626469697784841,0.03334376281703767,0.9734004554650217,0.6474728082905907,0.6595183588382977,True,False,24,-0.3130201815030267,-0.5354215216909317,0.5923584113254047,ok,120,10,5.6339570785528394,0.041706414896688804,92,12,-179.20867796742974,20,20,0.47619047619047616,0.03788002307170388,0.04846024907016907,0.0007181650031782283
stage2__c-0p740__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.74,normal,uniform,random,high_wealth,complete,3897,24,1,29,30,ok,10,4.926274393953006,0.03293402351049035,112,14,-240.7231055679154,20,20,0.8095238095238095,0.040718048838676406,0.051721913502660026,ok,0.7281553398058253,0.3172408746933253,0.33189838217850043,0.16640152094556082,0.8678409771002407,0.7775765188894433,0.7047098772398704,True,False,24,-0.5314529517536819,-0.6588162023652584,0.5100138016361261,ok,120,10,4.924403021436383,0.03280397979026395,112,14,-240.71782885273416,20,20,0.3333333333333333,0.030686781167509936,0.04704461440431996,0.0052767151812531665
stage2__c-0p560__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.56,pareto,uniform,random,high_both,complete,3859,21,1,23,30,ok,9,5.048202607013189,0.035016983864072704,127,12,-254.40643696120807,20,20,0.47619047619047616,0.03358940580937383,0.04449612846033756,ok,0.6939759036144578,0.3653180400947524,1.1847706751382077,0.6056027527131246,0.5447785739832146,-0.8832005973513036,0.9311470326625685,True,False,24,-0.21360676586811778,-0.45856314430853845,0.6465479081716127,ok,120,9,5.047226933589332,0.03494599562366052,127,12,-254.40363395338056,20,20,0.47619047619047616,0.03507474579481224,0.05149914197430291,0.0028030078275094183
stage2__c-0p555__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.555,normal,uniform,random,high_both,complete,3816,19,1,21,30,ok,7,4.514607800947969,0.04181385946277033,262,12,-502.7485713374542,20,20,0.047619047619047616,0.02322531383075679,0.03315471730815805,ok,0.6645326504481434,0.4086712666737974,-4.483754661163097,-1.6262804098323762,0.1038900172451952,1.413142563373168,0.5224215846463778,True,False,24,-4.297696346278409,-1.9026807889525459,0.05708221018724011,ok,120,7,4.513297129569313,0.041715484386501855,262,12,-502.73925982340086,20,20,0.047619047619047616,0.02501780960570259,0.03843467571006994,0.0093115140533655
stage2__c-0p560__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.56,equal,uniform,random,high_both,complete,3803,18,1,20,30,ok,11,6.89523707783704,0.03627179779861667,46,11,-81.16385425538687,20,20,0.47619047619047616,0.03759951635236472,0.05502824310165736,ok,0.6229508196721311,0.47328770444692564,-0.32652489818910646,-0.45597660081946767,0.6484068045801548,1.6465620353595922,0.4157275392761938,True,False,24,-0.31525533812271256,-0.5193511766983867,0.6035158714830557,ok,120,11,6.895186905419943,0.036273252297611136,46,11,-81.16382785710425,20,20,0.6190476190476191,0.0402874291534529,0.057137582801223136,2.6398282614081836e-05
stage2__c-0p735__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.735,pareto,uniform,random,high_wealth,complete,3772,20,1,25,30,ok,6,4.258083280677878,0.0256064038965802,387,12,-717.7096002739195,20,20,0.23809523809523808,0.02016672250816737,0.0305034189459867,ok,0.6513513513513514,0.42870607214761514,0.023152582849740533,0.005022645132143644,0.9959925258440792,0.56511967714418,0.724811524713585,True,False,24,-2.9485571577256318,-1.4934480063510371,0.13531995464010108,ok,120,6,4.256610450841642,0.025468871294512474,387,12,-717.692659064907,20,20,0.14285714285714285,0.019216306741218027,0.02796419445584195,0.01694120901242968
