scenario_id,family,n_nodes,period_length_rule,drive_value,size_bin_left,size_bin_right,event_count,mean_size,mean_duration,median_duration,p95_duration
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,3.0,4.0,620,3.0,1.179032258064516,1.0,2.0
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,4.0,5.0,635,4.0,1.3039370078740158,1.0,2.0
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,5.0,6.0,617,5.0,1.4700162074554295,1.0,2.0
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,6.0,8.0,954,6.437106918238993,1.6907756813417192,2.0,3.0
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,8.0,10.0,521,8.414587332053744,1.9942418426103647,2.0,3.0
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,10.0,13.0,220,10.65,2.4545454545454546,2.0,4.0
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,13.0,17.0,46,13.869565217391305,2.9347826086956523,3.0,5.0
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,1.0,2.0,191,1.0,1.0,1.0,1.0
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,2.0,3.0,267,2.0,1.0599250936329587,1.0,2.0
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,3.0,5.0,649,3.5130970724191064,1.1694915254237288,1.0,2.0
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,5.0,6.0,340,5.0,1.3352941176470587,1.0,2.0
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,6.0,8.0,713,6.5231416549789625,1.5049088359046283,1.0,2.3999999999999773
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,8.0,11.0,1143,8.989501312335959,1.73753280839895,2.0,3.0
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,11.0,15.0,1074,12.248603351955307,2.0186219739292364,2.0,3.0
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,15.0,21.0,346,16.153179190751445,2.459537572254335,2.0,4.0
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,21.0,28.0,6,22.333333333333332,3.5,3.5,4.75
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,1.0,2.0,12,1.0,1.0,1.0,1.0
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,2.0,3.0,24,2.0,1.0833333333333333,1.0,1.8499999999999979
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,3.0,4.0,56,3.0,1.1607142857142858,1.0,2.0
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,4.0,6.0,186,4.483870967741935,1.1989247311827957,1.0,2.0
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,6.0,9.0,364,7.032967032967033,1.445054945054945,1.0,2.0
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,9.0,13.0,502,10.47808764940239,1.649402390438247,2.0,3.0
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,13.0,19.0,777,15.513513513513514,1.945945945945946,2.0,3.0
