seed,ended_by_default,periods_completed,time_steps_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,scenario_id,family,run_index,drive_value,events_per_100_periods,avalanche_period_occupancy,one_period_wait_fraction,size_lag1_correlation,mean_duration_generations,mean_weighted_branching_ratio
2026071419,True,240,4800,2,40,20,20,4800,40,1107,17,17,1346,228,0.085,False,4282,4282,1107,0.523881363848669,0.83387435777674,0,133,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,19,20.0,95.0,0.95,0.9647577092511013,0.5965916262092609,1.4736842105263157,0.09608629674419147
2026081400,True,240,5280,4,88,22,22,5280,88,811,17,17,1847,235,0.085,False,4585,4585,811,0.553826608505998,0.8886052344601965,0,131,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,22,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,0,22.0,97.91666666666667,0.9791666666666666,0.9914529914529915,0.6931133713627873,1.625531914893617,0.10968833176279984
2026081401,True,240,5280,5,110,22,22,5280,110,698,18,18,1779,230,0.09,False,3979,3979,698,0.5479479768786129,0.886035436039206,0,122,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,22,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,1,22.0,95.83333333333333,0.9583333333333334,0.982532751091703,0.6576424336059464,1.6478260869565218,0.12982033666816273
2026081402,True,240,5280,3,66,22,22,5280,66,1049,18,18,1427,224,0.09,False,3914,3914,1049,0.46277210015329606,0.8235743484925908,0,125,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,22,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,2,22.0,93.33333333333333,0.9333333333333333,0.9461883408071748,0.6371666727916743,1.4508928571428572,0.0948315026768283
2026081403,True,240,5280,2,44,22,22,5280,44,812,18,18,1689,222,0.09,False,3656,3656,812,0.4806865426695843,0.8581974835886215,0,116,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,22,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,3,22.0,92.5,0.925,0.9638009049773756,0.6977786603652613,1.6711711711711712,0.12327135415370709
2026081404,True,240,5280,2,44,22,22,5280,44,888,17,17,1643,234,0.085,False,4239,4239,888,0.5155590941259731,0.8735303137532437,0,131,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,22,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,4,22.0,97.5,0.975,0.9828326180257511,0.5810121939931158,1.4871794871794872,0.09532489115822447
2026081405,True,240,5280,1,22,22,22,5280,22,831,19,19,1613,226,0.095,False,4387,4387,831,0.5344346934123547,0.8788226578527469,0,142,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,22,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,5,22.0,94.16666666666667,0.9416666666666667,0.9511111111111111,0.649458758738513,1.5486725663716814,0.11034697343260591
2026081406,True,240,5280,3,66,22,22,5280,66,825,18,18,1780,232,0.09,False,3891,3891,825,0.518639167309175,0.8581971215625803,0,123,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,22,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,6,22.0,96.66666666666667,0.9666666666666667,0.9826839826839827,0.6509654373181901,1.625,0.1220514638618087
2026081407,True,240,5280,2,44,22,22,5280,44,901,16,16,1643,227,0.08,False,4590,4590,901,0.5512875816993466,0.8910021786492375,0,148,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,22,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,7,22.0,94.58333333333333,0.9458333333333333,0.9734513274336283,0.6194376859908658,1.5638766519823788,0.1069036445688428
2026081408,True,240,5280,6,132,22,22,5280,132,777,18,18,1667,232,0.09,False,3389,3389,777,0.5077854824431987,0.9002847447624669,0,109,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,22,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,8,22.0,96.66666666666667,0.9666666666666667,0.987012987012987,0.640629278411389,1.5775862068965518,0.11445605998407722
