scenario_id,family,n_nodes,period_length_rule,drive_value,runs,time_window,period_count,event_count,avalanche_period_occupancy,mean_event_size,large_event_rate,mean_duration_generations,mean_weighted_branching,mean_credit_before,mean_credit_after
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,20,Q3,1200,1196,0.9966666666666667,5.513377926421405,0.0,1.4623745819397993,0.11062467586297017,999.9615384615385,984.0225752508361
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,20,Q4,1200,1200,1.0,7.066666666666666,0.0,1.5766666666666667,0.11119733044733043,987.98,970.5566666666666
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,20,post_Q1_burn_in,3600,3571,0.9919444444444444,5.553066367964155,0.0,1.4544945393447213,0.10565569033785217,957.8445813497619,942.180341640997
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,20,Q1,1200,1075,0.8958333333333334,2.8976744186046512,0.0,1.2269767441860464,0.08435289774824657,595.9060465116279,585.7590697674418
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,20,Q2,1200,1193,0.9941666666666666,5.227996647108131,0.0,1.432523051131601,0.10617660257224382,930.777870913663,913.720871751886
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,20,Q3,1200,1200,1.0,7.340833333333333,0.0,1.5875,0.1131037210338681,983.2825,963.9375
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,20,Q4,1200,1200,1.0,9.305,0.0016666666666666668,1.7716666666666667,0.13070154426327027,922.8533333333334,902.5583333333333
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,20,post_Q1_burn_in,3600,3593,0.9980555555555556,7.295296409685499,0.0005566379070414695,1.5975507932090176,0.11668104793355215,945.6668522126357,926.764263846368
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,20,Q1,1200,1138,0.9483333333333334,3.922671353251318,0.0,1.342706502636204,0.10467496768024008,656.0623901581722,642.6291739894552
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,20,Q2,1200,1200,1.0,7.365,0.0008333333333333334,1.5775,0.1043866573241573,975.5941666666666,953.4866666666667
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,20,Q3,1200,1200,1.0,10.3975,0.011666666666666667,1.8316666666666668,0.13088968080279997,951.9416666666667,927.7391666666666
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,20,Q4,1200,1200,1.0,12.79,0.04083333333333333,2.04,0.15556188252017097,833.1516666666666,807.2558333333334
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,20,post_Q1_burn_in,3600,3600,1.0,10.184166666666666,0.017777777777777778,1.8163888888888888,0.1302794068823761,920.2291666666666,896.1605555555556
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,20,Q1,1200,1160,0.9666666666666667,4.38103448275862,0.0,1.3672413793103448,0.1030563330347813,718.0586206896552,702.3456896551725
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,20,Q2,1200,1199,0.9991666666666666,8.904086738949124,0.0,1.6897414512093412,0.11596766888554161,1013.5763135946622,988.3903252710592
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,20,Q3,1200,1200,1.0,12.353333333333333,0.04083333333333333,1.9541666666666666,0.14297366424179334,923.0966666666667,894.9925
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,20,Q4,1200,1200,1.0,14.855,0.1,2.1658333333333335,0.17307852918180935,796.3266666666667,769.2083333333334
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,20,post_Q1_burn_in,3600,3599,0.9997222222222222,12.038343984440122,0.046957488191164215,1.9366490691858849,0.1440144115315609,910.9713809391498,884.1681022506252
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,20,Q1,1200,999,0.8325,2.4854854854854853,0.001001001001001001,1.1971971971971973,0.08951729507285061,326.36336336336336,317.8118118118118
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,20,Q2,1200,1170,0.975,4.147863247863248,0.015384615384615385,1.3863247863247863,0.11921603088269754,462.04786324786323,450.6923076923077
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,20,Q3,1200,1196,0.9966666666666667,5.739130434782608,0.061872909698996656,1.5551839464882944,0.13361522117793018,441.9113712374582,429.0802675585284
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,20,Q4,1200,1197,0.9975,6.908939014202172,0.14452798663324978,1.7560568086883876,0.17275206692499925,362.8696741854637,349.58479532163744
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,20,post_Q1_burn_in,3600,3563,0.9897222222222222,5.609598652820657,0.07437552624193096,1.567218635980915,0.14203502238865695,421.9694078024137,409.47039012068484
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,20,Q1,1200,1132,0.9433333333333334,3.618374558303887,0.0,1.2765017667844523,0.09718812302734563,660.9946996466431,648.1298586572439
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,20,Q2,1200,1197,0.9975,6.745196324143692,0.0,1.5396825396825398,0.10750357272913662,993.2063492063492,971.9824561403509
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,20,Q3,1200,1200,1.0,9.9925,0.0008333333333333334,1.7916666666666667,0.12690424077556428,946.0608333333333,922.4208333333333
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,20,Q4,1200,1200,1.0,11.956666666666667,0.008333333333333333,1.9566666666666668,0.14447136338177358,865.385,841.4458333333333
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,20,post_Q1_burn_in,3600,3597,0.9991666666666666,9.567139282735614,0.0030581039755351682,1.7628579371698638,0.12630872992648928,934.8354184042257,911.8996385877119
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,20,Q1,1200,1198,0.9983333333333333,8.819699499165276,0.0,1.6035058430717863,0.10022544314766386,1633.6327212020033,1602.4298831385643
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,20,Q2,1200,1200,1.0,18.0075,0.0,2.06,0.115922148892912,2428.005,2373.869166666667
