seed,ended_by_default,macro_periods_completed,settlements_completed,checks_completed,uncapped_total_drive_steps,total_drive_steps,capped_macro_periods,time_steps_completed,total_credit_issued,failed_credit_events,avalanche_count,active_avalanche_macro_periods,avalanche_active_macro_rate,max_collapse_size,total_collapse_size,collapse_fraction,critical_event,unique_default_nodes,total_default_occurrences,repeat_default_occurrences,repeat_default_share,initial_total_money,final_cash_total,external_reset_cash_flow,final_active_credit,mean_active_credit_after_settlement,final_active_nodes,initial_money_gini,final_net_worth_gini,total_target_recovery,total_actual_recovery,total_creditor_loss,realized_recovery_share,total_income_last_macro,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_macro_periods,default_threshold,drive_rule,fixed_drive_steps,max_drive_steps_per_macro,settlement_mode,settlement_batches,default_check_every_settlements,recovery_rate,wipe_defaulted_assets,default_node_mode,validate_accounting,scenario_id,protocol_id,mechanism_id,run_index
2026186006,True,1000,1000,11000,20000,20000,0,20000,20000,0,992,992,0.992,28,13567,0.14,True,196,13567,13371,0.9855531805115354,3150.0,3150.0,0.0,50.0,394.074,200,0.4777809523809524,0.9867650793650795,0.0,0.0,17204.0,0.0,91,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,6
2026186007,True,1000,1000,11000,20000,20000,0,20000,20000,0,991,991,0.991,27,13499,0.135,True,197,13499,13302,0.9854063263945477,4508.0,4508.0,0.0,33.0,439.871,200,0.5628416149068325,0.986510647737356,0.0,0.0,17178.0,0.0,123,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,7
2026186008,True,1000,1000,11000,20000,20000,0,20000,20000,0,984,984,0.984,25,13208,0.125,True,195,13208,13013,0.985236220472441,3941.0,3941.0,0.0,77.0,470.141,200,0.5037135244861712,0.9861240801826949,0.0,0.0,17009.0,0.0,112,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,8
2026186009,True,1000,1000,11000,20000,20000,0,20000,20000,0,988,988,0.988,27,13466,0.135,True,194,13466,13272,0.9855933462052577,3765.0,3765.0,0.0,101.0,441.9,200,0.5078791500664013,0.9890451527224438,0.0,0.0,17159.0,0.0,113,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,9
2026186010,True,1000,1000,11000,20000,20000,0,20000,20000,0,993,993,0.993,25,13991,0.125,True,197,13991,13794,0.98591951969123,3620.0,3620.0,0.0,33.0,359.734,200,0.5213287292817681,0.9917071823204422,0.0,0.0,17427.0,0.0,103,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,10
2026186011,True,1000,1000,11000,20000,20000,0,20000,20000,0,985,985,0.985,24,13033,0.12,True,196,13033,12837,0.9849612522059388,3714.0,3714.0,0.0,57.0,514.263,200,0.4782014001077006,0.990961227786753,0.0,0.0,16903.0,0.0,109,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,11
2026186000,True,1000,10000,1000,20000,20000,0,20000,20000,0,991,991,0.991,23,14849,0.115,True,198,14849,14651,0.9866657687386357,3533.0,3533.0,0.0,15.0,344.3105,200,0.5094041890744412,0.9948981035946789,0.0,0.0,17907.0,0.0,107,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,0
2026186001,True,1000,10000,1000,20000,20000,0,20000,20000,0,991,991,0.991,23,14071,0.115,True,196,14071,13875,0.9860706417454339,3936.0,3936.0,0.0,70.0,442.203,200,0.4802616869918701,0.9885823170731709,0.0,0.0,17533.0,0.0,124,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,1
2026186002,True,1000,10000,1000,20000,20000,0,20000,20000,0,987,987,0.987,24,14327,0.12,True,196,14327,14131,0.9863195365394011,4166.0,4166.0,0.0,86.0,427.4766,200,0.5348007681228997,0.9941574651944312,0.0,0.0,17644.0,0.0,123,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,2
2026186003,True,1000,10000,1000,20000,20000,0,20000,20000,0,994,994,0.994,22,14586,0.11,True,197,14586,14389,0.9864938982586041,4222.0,4222.0,0.0,41.0,380.5231,200,0.5427854097584084,0.9912932259592611,0.0,0.0,17802.0,0.0,126,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,3
2026186004,True,1000,10000,1000,20000,20000,0,20000,20000,0,984,984,0.984,23,14922,0.115,True,198,14922,14724,0.9867310012062727,3902.0,3902.0,0.0,25.0,321.9745,200,0.5331573552024604,0.9949589953869811,0.0,0.0,17988.0,0.0,116,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,4
2026186005,True,1000,10000,1000,20000,20000,0,20000,20000,0,975,975,0.975,23,14729,0.115,True,198,14729,14531,0.9865571321882002,4483.0,4483.0,0.0,18.0,337.2628,200,0.5631820209681018,0.9937352219495874,0.0,0.0,17904.0,0.0,131,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,5
2026186006,True,1000,10000,1000,20000,20000,0,20000,20000,0,997,997,0.997,23,14491,0.115,True,197,14491,14294,0.9864053550479608,3150.0,3150.0,0.0,43.0,380.5713,200,0.4777809523809524,0.9887492063492065,0.0,0.0,17754.0,0.0,105,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,6
2026186007,True,1000,10000,1000,20000,20000,0,20000,20000,0,989,989,0.989,23,14398,0.115,True,197,14398,14201,0.9863175441033477,4508.0,4508.0,0.0,50.0,400.185,200,0.5628416149068325,0.9881499556344278,0.0,0.0,17689.0,0.0,138,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,7
2026186008,True,1000,10000,1000,20000,20000,0,20000,20000,0,983,983,0.983,23,14259,0.115,True,195,14259,14064,0.9863244266778877,3941.0,3941.0,0.0,124.0,445.2264,200,0.5037135244861712,0.9868396346105051,0.0,0.0,17563.0,0.0,124,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,8
2026186009,True,1000,10000,1000,20000,20000,0,20000,20000,0,987,987,0.987,23,14744,0.115,True,196,14744,14548,0.986706456863809,3765.0,3765.0,0.0,85.0,320.3085,200,0.5078791500664013,0.9865112881806111,0.0,0.0,17883.0,0.0,113,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,9
2026186010,True,1000,10000,1000,20000,20000,0,20000,20000,0,990,990,0.99,23,14784,0.115,True,198,14784,14586,0.9866071428571429,3620.0,3620.0,0.0,19.0,336.1329,200,0.5213287292817681,0.9923232044198895,0.0,0.0,17881.0,0.0,110,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,10
2026186011,True,1000,10000,1000,20000,20000,0,20000,20000,0,991,991,0.991,24,14298,0.12,True,199,14298,14099,0.9860819695062246,3714.0,3714.0,0.0,0.0,414.925,200,0.4782014001077006,0.9950000000000001,0.0,0.0,17679.0,0.0,107,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,10,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q10,boundary_fixed_k20,flow_split_b10_check_q10,11
2026186000,True,1000,10000,2000,20000,20000,0,20000,20000,0,1959,991,0.991,14,15397,0.07,False,198,15397,15199,0.9871403520166266,3533.0,3533.0,0.0,16.0,317.6296,200,0.5094041890744412,0.9919261251061422,0.0,0.0,18026.0,0.0,107,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,5,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q5,boundary_fixed_k20,flow_split_b10_check_q5,0
2026186001,True,1000,10000,2000,20000,20000,0,20000,20000,0,1944,990,0.99,13,14037,0.065,False,196,14037,13841,0.9860369024720382,3936.0,3936.0,0.0,55.0,535.218,200,0.4802616869918701,0.9907215447154472,0.0,0.0,17361.0,0.0,121,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,settle_and_check,10,5,0.0,True,continue,False,boundary_fixed_k20__flow_split_b10_check_q5,boundary_fixed_k20,flow_split_b10_check_q5,1
