protocol_id,mechanism_id,scenario_id,active_macro_periods,total_macro_periods,avalanche_active_macro_rate,wait_intervals,wait_one_share,macro_event_size_lag1_corr,q1_mean_macro_event_size,q4_mean_macro_event_size,q4_to_q1_mean_size_ratio,q1_macro_critical_rate,q4_macro_critical_rate,final_20pct_avalanche_active_rate,final_20pct_large_event_rate_per_macro,final_20pct_mean_macro_event_size
high_risk_income_c020,reset_to_initial_cash,high_risk_income_c020__reset_to_initial_cash,11574,12000,0.9645,11562,0.9677391454765611,0.8615504924632588,3.038667687595712,42.034666666666666,13.833255554155642,0.0,0.9953333333333333,1.0,0.99875,43.56916666666667
boundary_fixed_k20,reference_period_end,boundary_fixed_k20__reference_period_end,11842,12000,0.9868333333333333,11830,0.9918005071851226,0.7521660071409987,6.474313863476425,17.522333333333332,2.70643865942029,0.0003518648838845883,0.21,1.0,0.21791666666666668,17.555833333333332
boundary_fixed_k20,check_only_b10,boundary_fixed_k20__check_only_b10,11842,12000,0.9868333333333333,11830,0.9918005071851226,0.7521660071409987,6.474313863476425,17.522333333333332,2.70643865942029,0.0003518648838845883,0.21,1.0,0.21791666666666668,17.555833333333332
boundary_fixed_k20,flow_split_b10_check_q10,boundary_fixed_k20__flow_split_b10_check_q10,11859,12000,0.98825,11847,0.992656368700937,0.8623479412082483,7.104582021685904,18.610333333333333,2.6194832118944467,0.0,0.26266666666666666,1.0,0.26375,18.642916666666668
boundary_fixed_k20,flow_split_b10_check_q5,boundary_fixed_k20__flow_split_b10_check_q5,11853,12000,0.98775,11841,0.9923148382737944,0.7988985832063645,4.557658604977217,9.95,2.1831385064985005,0.0,0.0,1.0,0.0,9.970833333333333
boundary_fixed_k20,flow_split_b10_check_q2,boundary_fixed_k20__flow_split_b10_check_q2,11863,12000,0.9885833333333334,11851,0.9929963716142097,0.5233243226360524,2.735242752357667,4.174666666666667,1.526250883241817,0.0,0.0,1.0,0.0,4.1658333333333335
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,11864,12000,0.9886666666666667,11852,0.993081336483294,0.13934190966530222,1.9591480446927374,2.2226666666666666,1.1345067427077764,0.0,0.0,1.0,0.0,2.2158333333333333
boundary_fixed_k20,recovery_50pct,boundary_fixed_k20__recovery_50pct,11878,12000,0.9898333333333333,11866,0.994185066576774,0.7337244211377175,7.058026407227241,17.490333333333332,2.4780770606672244,0.0010423905489923557,0.20733333333333334,1.0,0.21416666666666667,17.538333333333334
boundary_fixed_k20,recovery_90pct,boundary_fixed_k20__recovery_90pct,11879,12000,0.9899166666666667,11867,0.9943540911772141,0.7238879711780065,7.233067037165682,17.411666666666665,2.4072314797029066,0.0010420284821118443,0.206,1.0,0.21291666666666667,17.49416666666667
boundary_fixed_k20,keep_defaulted_assets,boundary_fixed_k20__keep_defaulted_assets,10368,12000,0.864,10356,0.8723445345693318,0.05629831490531446,2.6324859974149075,4.2761491132826634,1.6243767744564748,0.0,0.006152732537097358,0.9241666666666667,0.005,4.243011722272318
boundary_fixed_k20,permanent_exit,boundary_fixed_k20__permanent_exit,1531,12000,0.12758333333333333,1519,0.33640552995391704,0.051310188080346965,1.659033078880407,1.0,0.6027607361963191,0.0,0.0,0.0025,0.0,1.0
boundary_fixed_k20,reset_to_initial_cash,boundary_fixed_k20__reset_to_initial_cash,8228,12000,0.6856666666666666,8216,0.6812317429406037,-0.03182855773650843,1.9898528665651953,2.2445170321978534,1.1279814050132506,0.0,0.0,0.7158333333333333,0.0,2.2345750873108265
