family,scenario_id,scenario_index,run_index,seed,n_nodes,money_distribution,control_name,control_value,edge_window_periods,window,period_count,event_count,avalanche_occupancy,one_period_wait_fraction,size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,mean_total_income,first_active_credit,last_active_credit,first_gini,last_gini,unique_default_nodes_in_window,total_default_occurrences_in_window,repeated_default_occurrences_in_window,repeated_default_share_in_window
income,income__N200__c0p30__pareto__biased__random,1,3,2026910003,200,pareto,c,0.3,240,early,240,222,0.925,0.9683257918552036,0.8598422940614704,20.25225225225225,23.0,31.900000000000006,36.78999999999999,39,140,0.6306306306306306,15.193693693693694,5.058558558558558,0.24977758007117437,0.07207207207207207,931.5916666666667,0.8096960281737103,45.975,45.975,149.59166666666667,300,251,0.3670530132533134,0.9548024506126533,182,4496,4314,0.9595195729537367
income,income__N200__c0p30__pareto__biased__random,1,3,2026910003,200,pareto,c,0.3,240,late,240,240,1.0,1.0,-0.35196406778689265,28.9,29.0,34.0,38.21999999999997,40,236,0.9833333333333333,9.516666666666667,19.383333333333333,0.6707035755478662,0.0,22.5125,0.9947379136450786,33.5625,33.5625,111.94583333333334,32,5,0.9941672918229558,0.9949299824956239,199,6936,6737,0.9713091118800461
income,income__N200__c0p30__pareto__biased__random,1,4,2026910004,200,pareto,c,0.3,240,early,240,232,0.9666666666666667,0.9826839826839827,0.8517167539455265,23.512931034482758,26.0,34.0,39.0,39,164,0.7068965517241379,15.844827586206897,7.668103448275862,0.32612282309807517,0.03017241379310345,519.3291666666667,0.8902133910767702,44.28333333333333,44.28333333333333,143.90416666666667,300,120,0.4950822532402792,0.9788683948155534,190,5455,5265,0.9651695692025665
income,income__N200__c0p30__pareto__biased__random,1,4,2026910004,200,pareto,c,0.3,240,late,240,240,1.0,1.0,-0.1485759263091234,28.858333333333334,29.0,34.0,37.0,38,239,0.9958333333333333,8.625,20.233333333333334,0.7011261911637309,0.0,6.195833333333334,0.9949341766367577,33.30833333333333,33.30833333333333,110.92083333333333,23,3,0.9948354935194417,0.9949850448654038,199,6926,6727,0.9712676869766099
income,income__N200__c0p30__pareto__biased__random,1,5,2026910005,200,pareto,c,0.3,240,early,240,218,0.9083333333333333,0.9769585253456221,0.791575160265331,15.270642201834862,17.0,26.0,29.0,31,71,0.3256880733944954,12.761467889908257,2.5091743119266057,0.164313607689997,0.05045871559633028,1653.1125,0.6999658504081298,47.32083333333333,47.32083333333333,154.09583333333333,300,1200,0.28960769615192405,0.9041179410294853,151,3329,3178,0.9546410333433464
income,income__N200__c0p30__pareto__biased__random,1,5,2026910005,200,pareto,c,0.3,240,late,240,240,1.0,1.0,-0.10824929889555421,29.933333333333334,30.0,35.0,38.0,38,237,0.9875,13.4875,16.445833333333333,0.5494153674832962,0.0,181.02083333333334,0.9864922642845243,35.62916666666667,35.62916666666667,118.87916666666666,171,88,0.9833508245877063,0.9890554722638683,197,7184,6987,0.9725779510022272
income,income__N200__c0p30__pareto__biased__random,1,6,2026910006,200,pareto,c,0.3,240,early,240,221,0.9208333333333333,0.9818181818181818,0.799189724570993,18.058823529411764,20.0,29.0,31.80000000000001,36,114,0.5158371040723982,14.628959276018099,3.429864253393665,0.18992733650714105,0.03167420814479638,1236.0458333333333,0.759749801835628,46.71666666666667,46.71666666666667,152.11666666666667,300,611,0.358113892365457,0.9338785982478099,168,3991,3823,0.9579052868955149
income,income__N200__c0p30__pareto__biased__random,1,6,2026910006,200,pareto,c,0.3,240,late,240,240,1.0,1.0,-0.18512286349005885,28.791666666666668,29.0,34.0,38.0,43,233,0.9708333333333333,8.75,20.041666666666668,0.6960926193921853,0.0,5.591666666666667,0.9949415936587414,33.15416666666667,33.15416666666667,110.51666666666667,2,6,0.9949474342928661,0.9949899874843555,199,6910,6711,0.9712011577424023
income,income__N200__c0p30__pareto__biased__random,1,7,2026910007,200,pareto,c,0.3,240,early,240,218,0.9083333333333333,0.9769585253456221,0.8291710071583295,18.577981651376145,20.5,29.0,34.829999999999984,36,118,0.5412844036697247,14.573394495412844,4.004587155963303,0.21555555555555556,0.027522935779816515,1104.2125,0.7744325714047801,46.1875,46.1875,150.47916666666666,300,374,0.34438795903072705,0.9356545091181614,175,4050,3875,0.9567901234567902
income,income__N200__c0p30__pareto__biased__random,1,7,2026910007,200,pareto,c,0.3,240,late,240,240,1.0,1.0,-0.16707710033081258,29.15,30.0,33.0,35.0,37,239,0.9958333333333333,10.2875,18.8625,0.6470840480274442,0.0,28.8875,0.9943998251311521,33.8875,33.8875,113.1,100,32,0.9933687234574071,0.9948201348988259,198,6996,6798,0.9716981132075472
income,income__N200__c0p50__lognormal__biased__random,2,0,2026920000,200,lognormal,c,0.5,240,early,240,240,1.0,1.0,0.481490476501095,42.045833333333334,43.0,49.099999999999994,56.0,57,239,0.9958333333333333,25.1125,16.933333333333334,0.40273511049450006,0.0,359.7708333333333,0.9250753023993655,72.9125,72.9125,142.125,408,144,0.5913533610945867,0.9705889351576444,192,10091,9899,0.9809731443860866
income,income__N200__c0p50__lognormal__biased__random,2,0,2026920000,200,lognormal,c,0.5,240,late,240,240,1.0,1.0,-0.15246357186637455,39.170833333333334,39.0,45.099999999999994,50.829999999999956,52,240,1.0,9.941666666666666,29.229166666666668,0.7461972130624401,0.0,6.320833333333334,0.9949273497917912,48.2375,48.2375,96.49166666666666,0,5,0.9949821534800716,0.9949821534800716,199,9401,9202,0.9788320391447718
income,income__N200__c0p50__lognormal__biased__random,2,1,2026920001,200,lognormal,c,0.5,240,early,240,240,1.0,1.0,0.5714152865087507,45.43333333333333,46.0,54.0,58.609999999999985,63,239,0.9958333333333333,26.008333333333333,19.425,0.42754952311078503,0.0,367.60833333333335,0.9271934959881387,81.2,81.2,158.74166666666667,452,194,0.5903139717425432,0.9757378335949765,191,10904,10713,0.982483492296405
income,income__N200__c0p50__lognormal__biased__random,2,1,2026920001,200,lognormal,c,0.5,240,late,240,240,1.0,1.0,-0.16892792811670287,43.1875,43.0,50.0,53.0,56,240,1.0,10.283333333333333,32.90416666666667,0.7618909792571152,0.0,7.0875,0.9949310352346058,54.35,54.35,108.67916666666666,5,10,0.9949031920460494,0.9949450549450551,199,10365,10166,0.9808007718282682
income,income__N200__c0p50__lognormal__biased__random,2,2,2026920002,200,lognormal,c,0.5,240,early,240,240,1.0,1.0,0.38447969684233646,44.770833333333336,46.0,53.0,59.21999999999997,60,239,0.9958333333333333,24.208333333333332,20.5625,0.4592833876221498,0.0,268.57916666666665,0.9468476022758059,75.91666666666667,75.91666666666667,148.15833333333333,390,31,0.6361568680574372,0.9907870495800597,197,10745,10548,0.9816658911121452
income,income__N200__c0p50__lognormal__biased__random,2,2,2026920002,200,lognormal,c,0.5,240,late,240,240,1.0,1.0,-0.20064283090264748,41.858333333333334,42.0,48.0,54.21999999999997,59,240,1.0,10.504166666666666,31.354166666666668,0.7490543499900458,0.0,7.345833333333333,0.9949201774586824,52.766666666666666,52.766666666666666,105.525,6,1,0.994902465456516,0.9949241397995123,199,10046,9847,0.9801911208441171
income,income__N200__c0p50__lognormal__biased__random,2,3,2026920003,200,lognormal,c,0.5,240,early,240,240,1.0,1.0,0.4804127669404311,44.2,45.0,52.0,56.0,59,239,0.9958333333333333,24.404166666666665,19.795833333333334,0.447869532428356,0.0,270.45,0.9443898312940302,74.5,74.5,145.34583333333333,434,88,0.6235344827586209,0.9814265850945496,194,10608,10414,0.9817119155354449
income,income__N200__c0p50__lognormal__biased__random,2,3,2026920003,200,lognormal,c,0.5,240,late,240,240,1.0,1.0,-0.30818442817437525,41.49583333333333,41.0,47.0,54.43999999999994,60,240,1.0,10.241666666666667,31.254166666666666,0.753188071091475,0.0,5.991666666666666,0.9949343946978109,51.4625,51.4625,102.9,5,6,0.994955506117909,0.994983314794216,199,9959,9760,0.9800180741038257
income,income__N200__c0p50__lognormal__biased__random,2,4,2026920004,200,lognormal,c,0.5,240,early,240,240,1.0,1.0,0.5115341140238698,48.454166666666666,49.0,58.099999999999994,64.0,65,239,0.9958333333333333,27.120833333333334,21.333333333333332,0.4402786138103018,0.0,405.5375,0.931087239890066,87.875,87.875,172.14166666666668,434,203,0.6170800942285042,0.9792214369846879,191,11629,11438,0.9835755438988735
income,income__N200__c0p50__lognormal__biased__random,2,4,2026920004,200,lognormal,c,0.5,240,late,240,240,1.0,1.0,-0.155349181858645,47.083333333333336,47.0,54.0,58.609999999999985,60,240,1.0,12.508333333333333,34.575,0.7343362831858407,0.0,65.60416666666667,0.9944665979583834,61.275,61.275,122.5875,116,61,0.9934994110718494,0.9949434628975267,198,11300,11102,0.9824778761061946
income,income__N200__c0p50__lognormal__biased__random,2,5,2026920005,200,lognormal,c,0.5,240,early,240,240,1.0,1.0,0.3969343914064628,47.575,48.0,55.0,58.829999999999956,60,240,1.0,25.104166666666668,22.470833333333335,0.4723244000700648,0.0,299.1791666666667,0.9492560837577816,82.41666666666667,82.41666666666667,161.19583333333333,377,53,0.6496325491147223,0.989237205918021,196,11418,11222,0.9828341215624452
income,income__N200__c0p50__lognormal__biased__random,2,5,2026920005,200,lognormal,c,0.5,240,late,240,240,1.0,1.0,-0.2820946381337504,45.829166666666666,46.0,52.099999999999994,58.609999999999985,63,240,1.0,10.820833333333333,35.00833333333333,0.7638876261478316,0.0,8.866666666666667,0.9949381013016415,58.3125,58.3125,116.67916666666666,44,1,0.994941789958768,0.9949757458161534,199,10999,10800,0.9819074461314665
income,income__N200__c0p50__lognormal__biased__random,2,6,2026920006,200,lognormal,c,0.5,240,early,240,240,1.0,1.0,0.585358233535279,46.3375,48.0,54.099999999999994,61.609999999999985,65,235,0.9791666666666666,26.641666666666666,19.695833333333333,0.4250517039834547,0.0,456.95416666666665,0.923028112325139,85.24166666666666,85.24166666666666,166.87916666666666,459,151,0.570788428110256,0.9778333747206358,192,11121,10929,0.982735365524683
income,income__N200__c0p50__lognormal__biased__random,2,6,2026920006,200,lognormal,c,0.5,240,late,240,240,1.0,1.0,-0.1328089982836469,44.87083333333333,45.0,51.0,54.609999999999985,58,240,1.0,10.591666666666667,34.27916666666667,0.7639520846875291,0.0,7.3,0.9949278929724361,57.104166666666664,57.104166666666664,114.14583333333333,8,8,0.9949478519990067,0.9949627514278621,199,10769,10570,0.9815210325935556
