family,scenario_id,scenario_index,run_index,seed,n_nodes,money_distribution,control_name,control_value,time_bin,period_count,event_count,avalanche_occupancy,one_period_wait_fraction,size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,mean_total_income,first_active_credit,last_active_credit,first_gini,last_gini,unique_default_nodes_in_window,total_default_occurrences_in_window,repeated_default_occurrences_in_window,repeated_default_share_in_window
income,income__N200__c0p80__pareto__biased__random,5,0,2026950000,200,pareto,c,0.8,5,120,120,1.0,1.0,0.0416097749313213,67.10833333333333,66.5,76.0,82.0,84,120,1.0,17.525,49.583333333333336,0.7388550850614678,0.0,76.34166666666667,0.9938348966149746,100.53333333333333,100.53333333333333,125.49166666666666,86,48,0.9919134567283643,0.994767383691846,198,8053,7855,0.9754128896063579
income,income__N200__c0p80__pareto__biased__random,5,0,2026950000,200,pareto,c,0.8,6,120,120,1.0,1.0,-0.221494566740755,64.375,64.0,72.0,77.81,80,120,1.0,12.908333333333333,51.46666666666667,0.7994822006472492,0.0,23.958333333333332,0.9949056820076708,93.75,93.75,117.13333333333334,44,12,0.9948574287143572,0.9948349174587294,199,7725,7526,0.9742394822006473
income,income__N200__c0p80__pareto__biased__random,5,0,2026950000,200,pareto,c,0.8,7,120,120,1.0,1.0,-0.0194263437994454,65.23333333333333,65.0,72.10000000000001,77.0,78,120,1.0,13.033333333333333,52.2,0.8002043944813491,0.0,7.075,0.9949356344839092,93.71666666666667,93.71666666666667,117.09166666666667,23,3,0.9948624312156078,0.9949474737368686,199,7828,7629,0.9745784363822176
income,income__N200__c0p80__pareto__biased__random,5,0,2026950000,200,pareto,c,0.8,8,120,120,1.0,1.0,-0.19175128093316468,64.375,64.0,73.0,77.62,82,120,1.0,12.708333333333334,51.666666666666664,0.8025889967637541,0.0,8.8,0.9949239619809906,93.54166666666667,93.54166666666667,116.93333333333334,1,9,0.9949099549774889,0.9949849924962482,199,7725,7526,0.9742394822006473
income,income__N200__c0p80__pareto__biased__random,5,0,2026950000,200,pareto,c,0.8,9,120,120,1.0,1.0,-0.23359441912340695,65.375,66.0,72.0,81.43,82,120,1.0,12.875,52.5,0.8030592734225621,0.0,6.933333333333334,0.9949390320160082,93.85833333333333,93.85833333333333,117.29166666666667,1,3,0.9949474737368686,0.994974987493747,199,7845,7646,0.9746335245379223
income,income__N200__c0p80__pareto__biased__random,5,0,2026950000,200,pareto,c,0.8,10,120,120,1.0,1.0,-0.1612373874107217,65.56666666666666,66.0,73.0,76.62,79,120,1.0,12.808333333333334,52.75833333333333,0.8046517539400102,0.0,6.733333333333333,0.9949361764215446,93.55833333333334,93.55833333333334,116.89166666666667,8,16,0.9949849924962482,0.9949099549774889,199,7868,7669,0.974707676664972
income,income__N200__c0p80__pareto__biased__random,5,1,2026950001,200,pareto,c,0.8,1,120,119,0.9916666666666667,1.0,0.4825505816684369,75.84033613445378,77.0,86.0,92.82,96,118,0.9915966386554622,35.34453781512605,40.49579831932773,0.5339612188365651,0.0,335.69166666666666,0.9454915751372943,181.525,181.525,219.79166666666666,800,157,0.46100099850224674,0.9813429855217175,192,9025,8833,0.9787257617728532
income,income__N200__c0p80__pareto__biased__random,5,1,2026950001,200,pareto,c,0.8,2,120,120,1.0,1.0,0.02751849114123745,71.99166666666666,72.0,80.0,87.62,89,120,1.0,23.333333333333332,48.65833333333333,0.6758884130107652,0.0,82.19166666666666,0.9871059244466636,109.39166666666667,109.39166666666667,136.56666666666666,156,43,0.9815351972041939,0.9895431852221668,197,8639,8442,0.9771964347725431
income,income__N200__c0p80__pareto__biased__random,5,1,2026950001,200,pareto,c,0.8,3,120,120,1.0,1.0,-0.10887996176901535,69.15,69.5,76.10000000000001,83.81,88,120,1.0,19.158333333333335,49.99166666666667,0.7229452880212099,0.0,44.88333333333333,0.9912278873356634,102.44166666666666,102.44166666666666,127.98333333333333,44,29,0.9896105841238143,0.992573639540689,198,8298,8100,0.9761388286334056
income,income__N200__c0p80__pareto__biased__random,5,1,2026950001,200,pareto,c,0.8,4,120,120,1.0,1.0,-0.09303441058986145,67.36666666666666,67.0,74.0,78.0,81,120,1.0,17.391666666666666,49.975,0.741835724888669,0.0,32.49166666666667,0.9933460642369784,99.55833333333334,99.55833333333334,124.475,23,44,0.9926435346979532,0.994161258112831,198,8084,7886,0.9755071746660069
