seed,ended_by_default,periods_completed,time_steps_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,topology,target_mean_degree,sw_rewire_probability,topology_seed,topology_nodes,topology_edges,topology_mean_degree,topology_density,topology_clustering,topology_degree_std,topology_degree_cv,topology_max_degree,topology_components,topology_lcc_nodes,topology_lcc_fraction,topology_lcc_average_path_length,scenario_id,scenario_base_id,run_index,spending_label,topology_label,topology_family,target_mean_degree_requested
2026074890,True,120,56622,1,300,492,499,56622,300,1070,16,16,1061,120,0.13333333333333333,True,2438,2438,1070,0.4634194695105278,0.24420289855072475,0,981,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,24,0.1,2026082890,120,1440,24.0,0.20168067226890757,0.2816080866100478,10.988630487917955,0.4578596036632481,62,1,120,1.0,1.815546218487395,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k24,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k24,2,high_both,ba_k24,ba,24
2026074882,True,120,54023,1,300,460,479,54023,300,1202,17,17,1027,120,0.14166666666666666,True,2338,2338,1202,0.5221485600228115,0.250021385799829,0,922,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,6,0.1,2026082882,120,360,6.0,0.05042016806722689,0.16274317949756542,5.275730597114805,0.8792884328524675,39,1,120,1.0,2.637675070028011,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k6,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k6,0,high_both,ba_k6,ba,6
2026074883,True,120,56534,1,300,490,494,56534,300,1137,15,15,1074,120,0.125,True,2448,2448,1137,0.540958605664488,0.24089052287581691,0,980,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,6,0.1,2026082883,120,360,6.0,0.05042016806722689,0.11815756029341305,4.560701700396552,0.760116950066092,28,1,120,1.0,2.683893557422969,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k6,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k6,1,high_both,ba_k6,ba,6
2026074884,True,120,56609,1,300,483,496,56609,300,1175,14,14,1076,120,0.11666666666666667,True,2433,2433,1175,0.5464344430743937,0.23589190300041096,0,966,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,6,0.1,2026082884,120,360,6.0,0.05042016806722689,0.1137458904399694,4.847679857416329,0.8079466429027216,33,1,120,1.0,2.6778711484593836,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k6,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k6,2,high_both,ba_k6,ba,6
2026074870,True,120,50223,1,300,442,444,50223,300,579,17,17,1165,120,0.14166666666666666,True,2144,2144,579,0.46835354477611935,0.18821517412935318,0,884,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,complete,119,,2026082870,120,7140,119.0,1.0,1.0,0.0,0.0,119,1,120,1.0,1.0,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-complete,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-complete,0,high_both,complete,complete,0
2026074871,True,120,53958,1,300,474,474,53958,300,683,16,16,1176,119,0.13333333333333333,True,2323,2323,683,0.48546778590902573,0.20834050796383985,0,942,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,complete,119,,2026082871,120,7140,119.0,1.0,1.0,0.0,0.0,119,1,120,1.0,1.0,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-complete,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-complete,1,high_both,complete,complete,0
2026074872,True,120,59425,1,300,518,522,59425,300,898,17,17,1145,120,0.14166666666666666,True,2576,2576,898,0.4903791407867495,0.21638845755693592,0,1038,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,complete,119,,2026082872,120,7140,119.0,1.0,1.0,0.0,0.0,119,1,120,1.0,1.0,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-complete,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-complete,2,high_both,complete,complete,0
2026074876,True,120,53930,1,300,466,470,53930,300,1221,17,17,1027,120,0.14166666666666666,True,2346,2346,1221,0.5713341858482524,0.26467746518897406,0,933,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,er,12,0.1,2026082876,120,720,12.0,0.10084033613445378,0.10359371386267659,3.3015148038438356,0.27512623365365296,20,1,120,1.0,2.16890756302521,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k12,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k12,0,high_both,er_k12,er,12
2026074877,True,120,55598,1,300,484,488,55598,300,936,15,15,1063,120,0.125,True,2387,2387,936,0.5360459433040079,0.2505131964809384,0,962,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,er,12,0.1,2026082877,120,720,12.0,0.10084033613445378,0.0970069843870153,3.478505426185217,0.2898754521821014,21,1,120,1.0,2.165546218487395,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k12,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k12,1,high_both,er_k12,er,12
2026074878,True,120,58094,1,300,502,506,58094,300,815,15,15,1061,120,0.125,True,2515,2515,815,0.5170410868124586,0.21991053677932415,0,1008,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,er,12,0.1,2026082878,120,720,12.0,0.10084033613445378,0.1005678508368136,3.2812599206199238,0.27343832671832696,20,1,120,1.0,2.1677871148459382,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k12,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k12,2,high_both,er_k12,er,12
