scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
stage2__c-0p550__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.55,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.7083333333333334,240.0,148098.375,148.66666666666666,3568,148.66666666666666,0.6194444444444445,0.008127802690582959,2.568665919282511,0.021405549327354223,2.0,5.0,11.0,24,1.5299887892376682,1.038677130044843,0.4043644298963448,0.5956355701036552,5216.75,17595.208333333332,0.0,0.2889140625,119.0,1.0,0.0
stage2__c-0p555__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.555,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.8333333333333334,240.0,156068.83333333334,154.125,3699,154.125,0.6421875,0.009191673425250067,2.7399297107326306,0.02283274758943855,2.0,6.0,11.0,19,1.6226007028926737,1.1173290078399567,0.4077947705969413,0.5922052294030588,5346.291666666667,16973.458333333332,0.0,0.29209317129629636,119.0,1.0,0.0
stage2__c-0p560__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.56,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.6666666666666666,240.0,163796.54166666666,158.45833333333334,3803,158.45833333333334,0.6602430555555555,0.007362608466999737,2.816460688929792,0.023470505741081567,2.0,6.0,11.0,20,1.6623718117275834,1.1540888772022089,0.4097656614695173,0.5902343385304827,5195.041666666667,16840.916666666668,0.0,0.29572511574074073,119.0,1.0,0.0
stage2__c-0p565__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.565,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.8333333333333334,240.0,172740.54166666666,164.95833333333334,3959,164.95833333333334,0.6873263888888889,0.010861328618337964,2.9497347815104824,0.024581123179253987,2.0,6.0,12.0,29,1.7080070724930538,1.2417277090174286,0.4209624935776674,0.5790375064223325,5177.666666666667,16821.916666666668,0.0,0.2934988425925926,119.0,1.0,0.0
stage2__c-0p570__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.57,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.9166666666666666,240.0,180337.79166666666,172.16666666666666,4132,172.16666666666666,0.7173611111111111,0.011374636979670862,3.01621490803485,0.025135124233623716,2.0,6.0,12.0,21,1.7754114230396902,1.2408034849951597,0.4113776779266629,0.5886223220733371,5695.041666666667,16359.208333333334,0.0,0.2941588541666667,119.0,1.0,0.0
stage2__c-0p575__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.575,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,190100.08333333334,174.58333333333334,4190,174.58333333333334,0.7274305555555556,0.01503579952267303,3.158233890214797,0.026318615751789943,2.0,6.0,13.0,22,1.8040572792362768,1.3541766109785203,0.42877654348976046,0.5712234565102395,5470.75,16091.5,0.0,0.2913680555555556,119.0,1.0,0.0
stage2__c-0p580__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.58,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.9583333333333334,240.0,199086.875,178.25,4278,178.25,0.7427083333333333,0.014960261804581581,3.314633006077606,0.02762194171731335,3.0,7.0,12.0,28,1.871435250116877,1.4431977559607294,0.43540197461212976,0.5645980253878703,5353.708333333333,15284.666666666666,0.0,0.2944762731481482,119.0,1.0,0.0
stage2__c-0p585__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.585,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.9166666666666666,240.0,207759.91666666666,184.08333333333334,4418,184.08333333333334,0.7670138888888889,0.01403349932095971,3.416930737890448,0.0284744228157537,3.0,7.0,12.0,26,1.9244001810774105,1.4925305568130376,0.43680445151033387,0.5631955484896661,5166.833333333333,15306.083333333334,0.0,0.2969510995370371,119.0,1.0,0.0
stage2__c-0p590__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.59,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,216904.70833333334,189.20833333333334,4541,189.20833333333334,0.7883680555555556,0.02048007046905968,3.573221757322176,0.02977684797768477,3.0,7.0,13.0,25,2.0251046025104604,1.5481171548117154,0.4332552693208431,0.5667447306791569,5203.25,14248.041666666666,0.0,0.2909933449074074,119.0,1.0,0.0
stage2__c-0p595__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.595,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,226720.33333333334,194.66666666666666,4672,194.66666666666666,0.8111111111111111,0.018621575342465755,3.685359589041096,0.030711329908675766,3.0,7.0,13.0,20,2.0877568493150687,1.5976027397260273,0.43349982576373564,0.5665001742362644,5406.791666666667,14438.666666666666,0.0,0.3021519097222222,119.0,1.0,0.0
