scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,protocol
critical__base0029__c-0p450__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.45,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.16666666666666666,240.0,58366.5,32.666666666666664,784,32.666666666666664,0.1361111111111111,0.00510204081632653,1.5688775510204083,0.0130739795918367,1.0,3.0,8.169999999999959,27,1.0994897959183674,0.46938775510204084,0.2991869918699187,0.7008130081300813,7532.416666666667,33124.625,0.0,0.26728616898148144,119.0,1.0,0.0,period_end_critical_refined
critical__base0030__c-0p475__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.475,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.2916666666666667,240.0,72151.5,56.083333333333336,1346,56.083333333333336,0.23368055555555556,0.005943536404160475,1.8172362555720654,0.015143635463100508,1.0,3.0,10.0,23,1.1478454680534917,0.6693907875185735,0.3683565004088307,0.6316434995911693,6481.083333333333,26176.458333333332,0.0,0.27832899305555553,119.0,1.0,0.0,period_end_critical_refined
critical__base0031__c-0p500__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.5,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4166666666666667,240.0,90316.41666666667,85.58333333333333,2054,85.58333333333333,0.35659722222222223,0.006329113924050633,1.9644595910418696,0.016370496592015546,1.0,4.0,10.0,28,1.244888023369036,0.7195715676728335,0.3662949194547708,0.6337050805452292,6046.583333333333,22690.125,0.0,0.28540856481481486,119.0,1.0,0.0,period_end_critical_refined
critical__base0032__c-0p525__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.525,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5416666666666666,240.0,114525.41666666667,113.5,2724,113.5,0.47291666666666665,0.0069750367107195305,2.2536710719530104,0.01878059226627505,2.0,5.0,11.0,19,1.3770190895741556,0.8766519823788547,0.3889884345984688,0.6110115654015312,5973.541666666667,20328.041666666668,0.0,0.28966782407407404,119.0,1.0,0.0,period_end_critical_refined
critical__base0033__c-0p550__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.55,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.875,240.0,148787.70833333334,147.29166666666666,3535,147.29166666666666,0.6137152777777778,0.011315417256011316,2.6495049504950496,0.022079207920792043,2.0,5.0,12.0,26,1.5657708628005658,1.0837340876944836,0.40903267136450994,0.5909673286354901,5551.208333333333,17018.541666666668,0.0,0.29244386574074077,119.0,1.0,0.0,period_end_critical_refined
critical__base0034__c-0p575__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.575,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.9583333333333334,240.0,189351.54166666666,175.5,4212,175.5,0.73125,0.011870845204178538,3.115622032288699,0.02596351693573912,2.0,6.0,12.0,24,1.8046058879392213,1.3110161443494777,0.42078792958927075,0.5792120704107293,5377.375,16349.666666666666,0.0,0.2949780092592593,119.0,1.0,0.0,period_end_critical_refined
critical__base0035__c-0p600__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.6,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,235331.5,197.0,4728,197.0,0.8208333333333333,0.024746192893401017,3.8405245346869714,0.03200437112239139,3.0,8.0,14.0,20,2.1222504230118444,1.718274111675127,0.44740610199361164,0.5525938980063884,4878.541666666667,14334.958333333334,0.0,0.2976779513888889,119.0,1.0,0.0,period_end_critical_refined
critical__base0072__c-0p700__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.7,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.7083333333333334,240.0,121215.79166666667,122.20833333333333,2933,122.20833333333333,0.5092013888888889,0.00954653937947494,2.2853733378793044,0.019044777815660833,2.0,4.0,11.0,21,1.3883395840436412,0.8970337538356632,0.3925108160525138,0.6074891839474862,4697.25,19481.375,0.0,0.2854389467592593,119.0,1.0,0.0,period_end_critical_refined
critical__base0073__c-0p725__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.725,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.8333333333333334,240.0,148354.875,144.375,3465,144.375,0.6015625,0.01038961038961039,2.6147186147186146,0.02178932178932175,2.0,5.0,12.0,24,1.5471861471861472,1.0675324675324676,0.40827814569536425,0.5917218543046358,5062.958333333333,18870.166666666668,0.0,0.2931550925925926,119.0,1.0,0.0,period_end_critical_refined
critical__base0074__c-0p750__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.75,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.9166666666666666,240.0,184925.41666666666,168.5,4044,168.5,0.7020833333333333,0.014589515331355093,3.0435212660731947,0.025362677217276593,2.0,6.0,13.0,22,1.7425816023738872,1.3009396636993076,0.4274455638609035,0.5725544361390965,5020.0,16637.5,0.0,0.2958961226851852,119.0,1.0,0.0,period_end_critical_refined
