scenario_id,scenario_base_id,scenario_index,protocol,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_settlements_completed,mean_checks_completed,mean_capped_periods,mean_max_uncapped_period_length_steps,mean_max_period_length_steps,mean_avalanche_count,event_count,events_per_run,events_per_period,event_timestep_rate,event_occupancy,event_period_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_repeat_default_share,mean_unique_default_nodes,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-complete,money-equal__income-uniform__growth-random__spend-high_income__topo-complete,20,timestep_settle_check,0.1,120,equal,uniform,random,high_income,0.02,0.4,complete,complete,0,1,0.0,0.0,20.0,286.0,286.0,286.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,0.1063333333333333,0.0,0.0,119.0,1.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-er_k6,money-equal__income-uniform__growth-random__spend-high_income__topo-er_k6,21,timestep_settle_check,0.1,120,equal,uniform,random,high_income,0.02,0.4,er_k6,er,6,1,0.0,0.0,20.0,292.0,292.0,292.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.1159861111111111,0.0,0.0,6.0,0.050044955044955,0.4013864859597432
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-er_k12,money-equal__income-uniform__growth-random__spend-high_income__topo-er_k12,22,timestep_settle_check,0.1,120,equal,uniform,random,high_income,0.02,0.4,er_k12,er,12,1,0.0,0.0,20.0,284.0,284.0,284.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.1185347222222221,0.0,0.0,12.0,0.1018074435024898,0.27322660517925
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-er_k24,money-equal__income-uniform__growth-random__spend-high_income__topo-er_k24,23,timestep_settle_check,0.1,120,equal,uniform,random,high_income,0.02,0.4,er_k24,er,24,1,0.0,0.0,20.0,279.0,279.0,279.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.1066458333333333,0.0,0.0,24.0,0.198863389187213,0.1616430395105902
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k6,money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k6,24,timestep_settle_check,0.1,120,equal,uniform,random,high_income,0.02,0.4,ba_k6,ba,6,1,0.0,0.0,20.0,298.0,298.0,298.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.1280208333333334,0.0,0.0,6.0,0.1347387343289759,0.8716204576661921
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k12,money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k12,25,timestep_settle_check,0.1,120,equal,uniform,random,high_income,0.02,0.4,ba_k12,ba,12,1,0.0,0.0,20.0,291.0,291.0,291.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.1102430555555555,0.0,0.0,12.0,0.1597790943000747,0.5979323942956664
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k24,money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k24,26,timestep_settle_check,0.1,120,equal,uniform,random,high_income,0.02,0.4,ba_k24,ba,24,1,0.0,0.0,20.0,293.0,293.0,293.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,0.1115694444444443,0.0,0.0,24.0,0.2789371564009177,0.4508864725306261
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k6,money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k6,27,timestep_settle_check,0.1,120,equal,uniform,random,high_income,0.02,0.4,sw_k6,sw,6,1,0.0,0.0,20.0,299.0,299.0,299.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.1150902777777778,0.0,0.0,6.0,0.4379365079365082,0.1308802109932194
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k12,money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k12,28,timestep_settle_check,0.1,120,equal,uniform,random,high_income,0.02,0.4,sw_k12,sw,12,1,0.0,0.0,20.0,295.0,295.0,295.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.1073541666666666,0.0,0.0,12.0,0.5188921263921262,0.0775791113542719
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k24,money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k24,29,timestep_settle_check,0.1,120,equal,uniform,random,high_income,0.02,0.4,sw_k24,sw,24,1,0.0,0.0,20.0,281.0,281.0,281.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.1219930555555555,0.0,0.0,24.0,0.5372908859571514,0.0686763073059784
