seed,ended_by_default,periods_completed,time_steps_completed,settlements_completed,checks_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,max_period_length_steps_cap,max_uncapped_period_length_steps,capped_periods,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,avalanche_period_count,avalanche_timestep_rate,avalanche_period_occupancy,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,total_default_occurrences,unique_default_nodes,repeat_default_occurrences,repeat_default_share,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,topology,target_mean_degree,topology_seed,topology_nodes,topology_edges,topology_mean_degree,topology_density,topology_clustering,topology_degree_std,topology_degree_cv,topology_max_degree,topology_components,topology_lcc_nodes,topology_lcc_fraction,topology_lcc_average_path_length,scenario_id,scenario_base_id,scenario_index,run_index,protocol,spending_label,topology_label,topology_family,target_mean_degree_requested,sw_rewire_probability
2026060920,False,20,286,286,286,0,0,10,60,500,60,0,286,286,286,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,286,0.0,0.1063333333333333,0,116,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.4,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,complete,119,2026069920.0,120,7140,119.0,1.0,1.0,0.0,0.0,119,1,120,1.0,1.0,c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-complete,money-equal__income-uniform__growth-random__spend-high_income__topo-complete,20,0,timestep_settle_check,high_income,complete,complete,0,
2026060921,False,20,292,292,292,0,0,10,60,500,60,0,292,292,292,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,292,0.0,0.1159861111111111,0,87,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.4,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,er,6,,120,360,6.0,0.0504201680672268,0.050044955044955,2.4083189157584592,0.4013864859597432,13,3,118,0.9833333333333332,2.838476024916703,c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-er_k6,money-equal__income-uniform__growth-random__spend-high_income__topo-er_k6,21,0,timestep_settle_check,high_income,er_k6,er,6,0.1
2026060922,False,20,284,284,284,0,0,10,60,500,60,0,284,284,284,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,284,0.0,0.1185347222222221,0,105,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.4,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,er,12,,120,720,12.0,0.1008403361344537,0.1018074435024898,3.278719262151,0.27322660517925,22,1,120,1.0,2.172128851540616,c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-er_k12,money-equal__income-uniform__growth-random__spend-high_income__topo-er_k12,22,0,timestep_settle_check,high_income,er_k12,er,12,0.1
2026060923,False,20,279,279,279,0,0,8,60,500,60,0,279,279,279,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,279,0.0,0.1066458333333333,0,90,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.4,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,er,24,,120,1440,24.0,0.2016806722689075,0.198863389187213,3.879432948254165,0.1616430395105902,33,1,120,1.0,1.8028011204481795,c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-er_k24,money-equal__income-uniform__growth-random__spend-high_income__topo-er_k24,23,0,timestep_settle_check,high_income,er_k24,er,24,0.1
2026060924,False,20,298,298,298,0,0,10,60,500,60,0,298,298,298,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,298,0.0,0.1280208333333334,0,111,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.4,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,ba,6,,120,360,6.0,0.0504201680672268,0.1347387343289759,5.229722745997153,0.8716204576661921,33,1,120,1.0,2.6177871148459384,c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k6,money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k6,24,0,timestep_settle_check,high_income,ba_k6,ba,6,0.1
2026060925,False,20,291,291,291,0,0,11,60,500,60,0,291,291,291,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,291,0.0,0.1102430555555555,0,109,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.4,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,ba,12,,120,720,12.0,0.1008403361344537,0.1597790943000747,7.175188731547996,0.5979323942956664,48,1,120,1.0,2.145518207282913,c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k12,money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k12,25,0,timestep_settle_check,high_income,ba_k12,ba,12,0.1
2026060926,False,20,293,293,293,0,0,10,60,500,60,0,293,293,293,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,293,0.0,0.1115694444444443,0,89,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.4,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,ba,24,,120,1440,24.0,0.2016806722689075,0.2789371564009177,10.821275340735028,0.4508864725306261,63,1,120,1.0,1.8088235294117647,c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k24,money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k24,26,0,timestep_settle_check,high_income,ba_k24,ba,24,0.1
2026060927,False,20,299,299,299,0,0,11,60,500,60,0,299,299,299,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,299,0.0,0.1150902777777778,0,92,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.4,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,sw,6,,120,360,6.0,0.0504201680672268,0.4379365079365082,0.7852812659593165,0.1308802109932194,8,1,120,1.0,3.8084033613445376,c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k6,money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k6,27,0,timestep_settle_check,high_income,sw_k6,sw,6,0.1
2026060928,False,20,295,295,295,0,0,12,60,500,60,0,295,295,295,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,295,0.0,0.1073541666666666,0,122,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.4,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,sw,12,,120,720,12.0,0.1008403361344537,0.5188921263921262,0.9309493362512627,0.0775791113542719,15,1,120,1.0,2.630532212885154,c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k12,money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k12,28,0,timestep_settle_check,high_income,sw_k12,sw,12,0.1
2026060929,False,20,281,281,281,0,0,9,60,500,60,0,281,281,281,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,281,0.0,0.1219930555555555,0,111,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.4,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,sw,24,,120,1440,24.0,0.2016806722689075,0.5372908859571514,1.648231375343482,0.0686763073059784,29,1,120,1.0,1.9789915966386555,c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k24,money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k24,29,0,timestep_settle_check,high_income,sw_k24,sw,24,0.1
