scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p70__money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-er_k12,money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-er_k12,0.7,120,lognormal,biased,preferential_debt,high_income,0.02,0.4,er_k12,er,12,3,1.0,1.0,120.0,138599.33333333334,120.0,360,120.0,1.0,1.0,62.21666666666667,0.5184722222222221,64.0,70.0,73.0,77,57.84166666666667,4.375,0.0703187784623627,0.9296812215376372,420.0,20.0,0.5222787131490706,0.8849201747353542,12.0,0.100197495358099,0.2627403709977848
c-0p60__money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-sw_k24,money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-sw_k24,0.6,120,lognormal,biased,preferential_debt,high_income,0.02,0.4,sw_k24,sw,24,3,1.0,1.0,120.0,70199.66666666667,120.0,360,120.0,1.0,1.0,62.09722222222222,0.5174768518518518,66.0,74.0,78.0,81,58.275,3.8222222222222224,0.0615522254529188,0.9384477745470812,360.0,23.33333333333333,0.509618564439997,0.9371640870821768,24.0,0.5399474648312138,0.0616227979211272
c-0p80__money-uniform__income-biased__growth-preferential_debt__spend-baseline__topo-sw_k6,money-uniform__income-biased__growth-preferential_debt__spend-baseline__topo-sw_k6,0.8,120,uniform,biased,preferential_debt,baseline,0.02,0.2,sw_k6,sw,6,3,1.0,1.0,120.0,70633.0,120.0,360,120.0,1.0,1.0,61.78888888888889,0.5149074074074074,65.0,70.0,74.0,75,59.41944444444445,2.3694444444444445,0.0383474195288617,0.9616525804711384,480.0,27.0,0.3444790357762635,0.8459699765034981,6.0,0.443829365079365,0.126674554147758
c-0p70__money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-er_k12,money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-er_k12,0.7,120,lognormal,biased,preferential_debt,high_both,0.04,0.4,er_k12,er,12,3,1.0,1.0,120.0,153658.0,120.0,360,120.0,1.0,1.0,61.53055555555556,0.5127546296296296,63.0,69.0,74.0,79,56.14722222222223,5.383333333333334,0.0874904067536454,0.9125095932463546,420.0,28.666666666666668,0.5406169373698725,0.8720664649253301,12.0,0.1032457699917709,0.2561290759464398
c-0p70__money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-sw_k24,money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-sw_k24,0.7,120,lognormal,biased,preferential_debt,high_wealth,0.04,0.2,sw_k24,sw,24,3,1.0,1.0,120.0,63733.333333333336,120.0,360,120.0,1.0,1.0,61.31111111111111,0.5109259259259259,66.0,73.0,78.41000000000003,80,58.33055555555556,2.980555555555556,0.0486136281261326,0.9513863718738672,420.0,28.33333333333333,0.5506296729716008,0.943044415572522,24.0,0.5474002322315887,0.0640838815867187
c-0p80__money-lognormal__income-biased__growth-random__spend-high_both__topo-er_k12,money-lognormal__income-biased__growth-random__spend-high_both__topo-er_k12,0.8,120,lognormal,biased,random,high_both,0.04,0.4,er_k12,er,12,3,1.0,1.0,120.0,25244.33333333333,120.0,360,120.0,1.0,1.0,61.21111111111111,0.5100925925925925,62.0,70.0,74.0,77,25.794444444444444,35.416666666666664,0.5785986567435106,0.4214013432564893,480.0,194.3333333333333,0.4813876956225917,0.9781836462568968,12.0,0.1002372421813406,0.2751661449752332
c-0p80__money-pareto__income-biased__growth-random__spend-high_both__topo-sw_k12,money-pareto__income-biased__growth-random__spend-high_both__topo-sw_k12,0.8,120,pareto,biased,random,high_both,0.04,0.4,sw_k12,sw,12,3,1.0,1.0,120.0,26722.33333333333,119.0,357,119.0,0.9916666666666668,1.0,61.19327731092437,0.5099439775910365,62.0,70.0,74.44,77,23.65266106442577,37.5406162464986,0.6134761512405017,0.3865238487594983,1134.0,115.66666666666669,0.3050290541265959,0.9851172296969156,12.0,0.5007986149652818,0.089666296756607
c-0p70__money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-ba_k24,money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-ba_k24,0.7,120,lognormal,biased,preferential_debt,high_both,0.04,0.4,ba_k24,ba,24,3,1.0,1.0,120.0,147180.0,120.0,360,120.0,1.0,1.0,61.172222222222224,0.5097685185185185,62.0,69.0,74.0,76,54.12222222222222,7.05,0.1152483879756607,0.8847516120243393,420.0,24.33333333333333,0.5255490024808522,0.8609382417927121,24.0,0.2817310828905783,0.4564898074288573
c-0p70__money-uniform__income-biased__growth-preferential_debt__spend-high_both__topo-er_k12,money-uniform__income-biased__growth-preferential_debt__spend-high_both__topo-er_k12,0.7,120,uniform,biased,preferential_debt,high_both,0.04,0.4,er_k12,er,12,3,1.0,1.0,120.0,154822.0,120.0,360,120.0,1.0,1.0,61.083333333333336,0.5090277777777777,63.0,68.0,72.0,74,55.91666666666666,5.166666666666667,0.0845839017735334,0.9154160982264664,420.0,24.666666666666668,0.3250096631754156,0.8442653591864079,12.0,0.099069546157815,0.2791132077804996
c-0p80__money-lognormal__income-biased__growth-preferential_debt__spend-baseline__topo-er_k24,money-lognormal__income-biased__growth-preferential_debt__spend-baseline__topo-er_k24,0.8,120,lognormal,biased,preferential_debt,baseline,0.02,0.2,er_k24,er,24,3,1.0,1.0,120.0,68841.33333333333,120.0,360,120.0,1.0,1.0,60.89722222222223,0.5074768518518519,63.0,69.0,74.41000000000003,77,57.31388888888889,3.583333333333333,0.0588423117274095,0.9411576882725904,480.0,13.333333333333334,0.4998924703588161,0.9126147746967748,24.0,0.2044210191049611,0.1956752252847177
