series_id,source,family,scenario_id,control_value,n_nodes,money_distribution,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
phase2__fixed__K20__lognormal__biased__random,phase2_new,fixed,fixed__K20__lognormal__biased__random,20.0,200,lognormal,17275,23,1,23,100,ok,17,15.957159820550341,0.022500483848245212,180,17,-216.48598508500135,200,200,0.4228855721393035,0.021534196561829685,0.04006585653515765,ok,0.43037974683544306,0.84308732785086,-0.5247432118780472,-0.8927056315898008,0.37201483374386124,2.3159286936993406,0.20336761289493702,True,False,24,-0.5683640115917656,-0.6498533536342173,0.5157869515717417,ok,200,17,15.957160853612878,0.02250050894288469,180,17,-216.4859850850011,200,200,0.4527363184079602,0.022734639646010208,0.041170853196527336,2.5579538487363607e-13
phase2__fixed__K20__pareto__biased__random,phase2_new,fixed,fixed__K20__pareto__biased__random,20.0,200,pareto,13362,23,1,23,100,ok,15,11.202537027672662,0.03581111539443671,210,16,-309.4959123495097,200,200,0.15422885572139303,0.02461887143000764,0.046406895550928424,ok,0.5280898876404494,0.6384887680220813,-1.7480340600785613,-1.9055132335386455,0.056713388889034495,2.419307345370956,0.2059380247546871,True,False,24,-2.236984810595195,-1.2003129120574585,0.23001783694278422,ok,200,15,11.202537520064743,0.03581113238365219,210,16,-309.49591234901635,200,200,0.13930348258706468,0.024264305611538937,0.04145525057850762,4.933440322929528e-10
phase2__fixed__K22__lognormal__biased__random,phase2_new,fixed,fixed__K22__lognormal__biased__random,22.0,200,lognormal,17424,25,1,25,100,ok,20,19.46550692219369,0.02033438890450312,102,20,-117.17718035854196,200,200,0.6567164179104478,0.024470574487076024,0.04030045375280552,ok,0.41040462427745666,0.8906117174564635,-0.055232735355253526,-0.16653032241512924,0.8677396224840949,1.6415137908151032,0.2795850812997956,True,False,24,-0.05042568597449204,-0.2316454360586711,0.8168134143169316,ok,200,20,19.465505613777076,0.02033436785860332,102,20,-117.17718035854145,200,200,0.6218905472636815,0.02277462709317817,0.037851777416582695,5.115907697472721e-13
phase2__fixed__K22__pareto__biased__random,phase2_new,fixed,fixed__K22__pareto__biased__random,22.0,200,pareto,13910,27,1,28,100,ok,14,7.416000551976675,0.040545132513981286,930,19,-1778.2897807315042,200,200,0.004975124378109453,0.013764762363177759,0.022132376112492472,ok,0.6635311143270622,0.4101795320711503,-13.018392084573652,-4.4717062994436505,7.759795194087076e-06,2.309586208778592,0.2971254066102311,True,False,24,-13.800421332870513,-3.2270097656339285,0.0012509119078657944,ok,200,14,7.41599703280234,0.04054495069451358,930,19,-1778.289752220746,200,200,0.004975124378109453,0.012705187411439486,0.01994423401690899,2.8510758056654595e-05
phase2__fixed__K24__lognormal__biased__random,phase2_new,fixed,fixed__K24__lognormal__biased__random,24.0,200,lognormal,17525,29,1,30,100,ok,22,16.240866215532524,0.011734828143736886,117,22,-167.65769930189256,200,200,0.8308457711442786,0.01832182304963317,0.03004920466129127,ok,0.5165289256198348,0.6606239888543851,-0.04833710609956654,-0.09164924643820974,0.9269767230666995,1.634985332752372,0.3206118981044952,True,False,24,-0.07504592743383398,-0.2410477633272009,0.8095180979226229,ok,200,22,16.24086649762542,0.011734834536076932,117,22,-167.65769930189236,200,200,0.8308457711442786,0.01761700528528282,0.027759705620430494,1.9895196601282805e-13
phase2__fixed__K24__pareto__biased__random,phase2_new,fixed,fixed__K24__pareto__biased__random,24.0,200,pareto,14193,27,1,28,100,ok,20,13.185953316311428,0.032818603467244134,168,20,-263.91218045303015,200,200,0.2885572139303483,0.02714929562416019,0.04412621859465922,ok,0.5613577023498695,0.5773969610529831,-1.3279041840377002,-2.0575786085269794,0.039630601845088945,2.7730858789661066,0.16808863864749568,True,False,24,-1.9579820600808286,-1.1896534998431056,0.2341826088924388,ok,200,20,13.185952790988722,0.03281858923479075,168,20,-263.91218045294966,200,200,0.29850746268656714,0.029362157681880646,0.04826625127600546,8.049028110690415e-11
phase2__fixed__K26__lognormal__biased__random,phase2_new,fixed,fixed__K26__lognormal__biased__random,26.0,200,lognormal,17601,28,1,28,100,ok,24,22.680705539775893,0.026896129422068205,101,24,-117.59864610219364,200,200,0.3781094527363184,0.02454482543653797,0.04395995569761246,ok,0.4161849710982659,0.8766254754817236,-0.12633302420106873,-0.4952701071059867,0.6204094688756117,2.467105589451445,0.19011834604745967,True,False,24,-0.11243834036108957,-0.36671689419942677,0.7138302034771987,ok,200,24,22.680704616950035,0.02689611660025637,101,24,-117.59864610219351,200,200,0.3333333333333333,0.0235752195568379,0.04024217567296466,1.2789769243681803e-13
phase2__fixed__K26__pareto__biased__random,phase2_new,fixed,fixed__K26__pareto__biased__random,26.0,200,pareto,14591,31,1,31,100,ok,25,15.32682513442248,0.03636998045350848,114,25,-184.9545779321275,200,200,0.35323383084577115,0.03279906045898999,0.05223225227432978,ok,0.5777777777777778,0.5485659517488376,-1.0848092504666098,-2.7808504867609027,0.005421670044420179,3.123788824134046,0.11650588396648144,True,False,24,-2.405075287839795,-1.479366084367366,0.13904249948924266,ok,200,25,15.326824599383157,0.03636996864849251,114,25,-184.95457793211767,200,200,0.3333333333333333,0.032065563694194124,0.049873242666564614,9.833911462919787e-12
phase2__income__c0p12__lognormal__biased__random,phase2_new,income,income__c0p12__lognormal__biased__random,0.12,200,lognormal,16615,17,1,17,100,ok,11,10.350565012455663,0.031205352979684298,230,12,-290.20253489232243,200,200,0.13432835820895522,0.020088980602482737,0.038873176027447484,ok,0.45107398568019097,0.7961239048624953,-1.7830463435540778,-1.8993584270365074,0.05751736562872389,2.0262033822317633,0.2370381562068075,True,False,24,-1.9937445785681458,-1.280915019256324,0.20022351676488215,ok,200,11,10.350565498333529,0.031205371727155984,230,12,-290.2025348920708,200,200,0.0945273631840796,0.020229801388640733,0.03504995843750353,2.516458152967971e-10
phase2__income__c0p12__pareto__biased__random,phase2_new,income,income__c0p12__pareto__biased__random,0.12,200,pareto,10857,16,1,16,100,ok,6,4.947193902011662,0.0359747791462911,1045,10,-1689.9835412275925,200,200,0.004975124378109453,0.011186078096027485,0.01937380776835424,ok,0.5739910313901346,0.5551415075405014,-16.651149157307344,-3.4218791374833546,0.0006218995176215233,1.26808157513688,0.475541965425819,True,False,24,-15.585753765118318,-3.5796669312905913,0.00034403242218765645,ok,200,6,4.947152931387873,0.03597161984826369,1045,10,-1689.9828067247959,200,200,0.004975124378109453,0.011522800977689585,0.01803462943196452,0.0007345027966039197
phase2__income__c0p14__lognormal__biased__random,phase2_new,income,income__c0p14__lognormal__biased__random,0.14,200,lognormal,17233,22,1,24,100,ok,16,12.30482006067433,0.03637189561462956,113,16,-161.55324364444567,200,200,0.19900497512437812,0.028069070887412746,0.04333549274904329,ok,0.5129310344827587,0.6676138785547805,-0.8206926126282372,-1.2618250462854819,0.20701174756639962,2.487529900177855,0.19158582450799858,True,False,24,-1.0916190489210935,-0.7905647278075568,0.4291980365942759,ok,200,16,12.304819882423681,0.036371890143787555,113,16,-161.5532436444144,200,200,0.26865671641791045,0.030008849461847377,0.04402763316817809,3.126388037344441e-11
phase2__income__c0p14__pareto__biased__random,phase2_new,income,income__c0p14__pareto__biased__random,0.14,200,pareto,12615,24,1,24,100,ok,15,11.563223978634248,0.010431383111922488,274,16,-393.80820192848785,200,200,0.9402985074626866,0.02057930016042002,0.0342423762777817,ok,0.519298245614035,0.6552769065045355,0.8610241135585885,0.6872877035243373,0.49190144606259634,-8.053851136820592,1.0186952418384663,True,False,24,-0.008766958666985403,-0.09111213445627812,0.9274034908470529,ok,200,15,11.563223547355664,0.01043139725986264,274,16,-393.8082019282373,200,200,0.9253731343283582,0.020326388003444523,0.033770883244133416,2.5056579033844173e-10
phase2__income__c0p16__lognormal__biased__random,phase2_new,income,income__c0p16__lognormal__biased__random,0.16,200,lognormal,17525,28,1,29,100,ok,15,8.726490451669628,0.02780563742372505,896,19,-1589.2876889600254,200,200,0.009950248756218905,0.012606637741773497,0.01947565995312302,ok,0.625574592561638,0.46908470348874504,-6.870931097009565,-2.6245694711714647,0.00867585917305362,2.1788629285969687,0.30787149583041157,True,False,24,-6.77024294214614,-2.215590550431014,0.026719556615919782,ok,200,15,8.72649079178481,0.027805651538785114,896,19,-1589.2876875666457,200,200,0.004975124378109453,0.011922634130868888,0.019460366231218496,1.393379761793767e-06
phase2__income__c0p16__pareto__biased__random,phase2_new,income,income__c0p16__pareto__biased__random,0.16,200,pareto,13651,24,1,24,100,ok,17,13.083699776620296,0.026544561689396118,158,17,-224.33189097441118,200,200,0.472636815920398,0.028382293733308413,0.053827669401021565,ok,0.5108359133126934,0.6717068493220761,-0.5212089853496717,-0.7632122216890567,0.4453368411623032,2.19288456692869,0.2524798840841709,True,False,24,-0.5171424679725884,-0.6405949628178261,0.5217858731200764,ok,200,17,13.083699207563562,0.0265445453165839,158,17,-224.33189097439868,200,200,0.5124378109452736,0.029022527371296,0.054464933527630946,1.2505552149377763e-11
phase2__income__c0p18__lognormal__biased__random,phase2_new,income,income__c0p18__lognormal__biased__random,0.18,200,lognormal,17764,29,1,29,100,ok,20,11.372378412182158,0.027836069972974053,431,23,-750.6513530728158,200,200,0.08955223880597014,0.018021365919550298,0.03091553873109973,ok,0.6155218554861731,0.4852848254808548,-3.8255719816404836,-3.3428187578821213,0.0008293204624305464,2.7224141955509604,0.2012787915656683,True,False,24,-4.8350239768976095,-2.042336008909868,0.04111821254827436,ok,200,20,11.372378054297528,0.027836058400079078,431,23,-750.6513530589406,200,200,0.08955223880597014,0.018298435088252907,0.03160688907113782,1.3875251170247793e-08
phase2__income__c0p18__pareto__biased__random,phase2_new,income,income__c0p18__pareto__biased__random,0.18,200,pareto,14457,26,1,26,100,ok,16,9.61065774140027,0.02606216558211244,614,19,-1055.9091324835051,200,200,0.03980099502487562,0.01564536247228379,0.024997700435863277,ok,0.6084183673469388,0.49689252946206663,-6.211037900082321,-3.660743214186078,0.0002514847050997562,2.449285941154997,0.24082354553384727,True,False,24,-7.00794551744284,-2.4012768076225295,0.016337972381475455,ok,200,16,9.61065717027063,0.026062144938239773,614,19,-1055.9091323171103,200,200,0.04477611940298507,0.014782864095881379,0.024976657276421427,1.6639478417346254e-07
