family,scenario_id,control_name,control_value,n_nodes,money_distribution,events,single_initial_event_rate,multi_initial_event_rate,propagation_event_rate,total_size,total_initial_defaults,total_propagated_defaults,propagated_share_of_total_size,mean_size,mean_initial_defaults,mean_propagated_defaults,mean_size_per_node,mean_initial_defaults_per_node,mean_propagated_defaults_per_node
fixed,fixed__K22__lognormal__biased__random,fixed_k,22.0,200,lognormal,17424,0.04924242424242424,0.9507575757575758,0.5616965105601469,152723,132815,19908,0.1303536467984521,8.765094123048668,7.6225321395775945,1.1425619834710743,0.04382547061524334,0.03811266069788797,0.0057128099173553715
fixed,fixed__K24__lognormal__biased__random,fixed_k,24.0,200,lognormal,17525,0.041768901569186875,0.9582310984308131,0.623623395149786,177886,152675,25211,0.14172559954127925,10.150413694721825,8.711840228245364,1.4385734664764622,0.05075206847360913,0.04355920114122682,0.007192867332382311
fixed,fixed__K26__lognormal__biased__random,fixed_k,26.0,200,lognormal,17601,0.037100164763365716,0.9628998352366342,0.6626896199079598,198494,169126,29368,0.1479540943303072,11.277427418896654,9.608885858758025,1.6685415601386284,0.056387137094483265,0.04804442929379013,0.008342707800693142
fixed,fixed__K18__pareto__biased__random,fixed_k,18.0,200,pareto,12622,0.1964823324354302,0.8035176675645698,0.28339407383932813,52788,46744,6044,0.11449571872395241,4.1822215179844715,3.7033750594200603,0.4788464585644113,0.02091110758992236,0.0185168752971003,0.0023942322928220566
fixed,fixed__K20__pareto__biased__random,fixed_k,20.0,200,pareto,13362,0.15072593923065408,0.8492740607693459,0.37412064062266126,73097,64112,8985,0.12291886123917534,5.470513396198174,4.798084119143841,0.6724292770543332,0.02735256698099087,0.023990420595719205,0.003362146385271666
fixed,fixed__K22__pareto__biased__random,fixed_k,22.0,200,pareto,13910,0.1308411214953271,0.8691588785046729,0.4242271746944644,90407,78557,11850,0.13107392126715853,6.499424874191229,5.647519769949676,0.8519051042415529,0.03249712437095614,0.028237598849748382,0.0042595255212077646
fixed,fixed__K24__pareto__biased__random,fixed_k,24.0,200,pareto,14193,0.11216797012611851,0.8878320298738815,0.4824209117170436,107336,92711,14625,0.13625437877319818,7.562601282322271,6.5321637426900585,1.030437539632213,0.03781300641161136,0.03266081871345029,0.0051521876981610645
fixed,fixed__K26__pareto__biased__random,fixed_k,26.0,200,pareto,14591,0.09286546501267905,0.907134534987321,0.5595915290247413,134384,112740,21644,0.16106084057625908,9.210060996504694,7.72668083064903,1.4833801658556645,0.04605030498252347,0.03863340415324515,0.007416900829278322
income,income__c0p12__lognormal__biased__random,c,0.12,200,lognormal,16615,0.15486006620523624,0.8451399337947638,0.27625639482395425,67419,60515,6904,0.10240436672154733,4.057718928678905,3.6421907914535057,0.4155281372253987,0.020288594643394525,0.018210953957267528,0.0020776406861269937
income,income__c0p14__lognormal__biased__random,c,0.14,200,lognormal,17233,0.08750652817269193,0.9124934718273081,0.3808971159983752,97987,87138,10849,0.11071876881627155,5.686009400568676,5.056461440259966,0.6295479603087101,0.028430047002843382,0.025282307201299828,0.0031477398015435504
income,income__c0p16__lognormal__biased__random,c,0.16,200,lognormal,17525,0.05072753209700428,0.9492724679029957,0.49529243937232525,132629,116325,16304,0.12292937442037563,7.567988587731811,6.637660485021398,0.9303281027104137,0.037839942938659055,0.03318830242510699,0.004651640513552068
income,income__c0p18__lognormal__biased__random,c,0.18,200,lognormal,17764,0.03383247016437739,0.9661675298356226,0.59975230803873,168084,144644,23440,0.13945408248256824,9.462058095023643,8.142535464985365,1.3195226300382796,0.047310290475118214,0.040712677324926824,0.006597613150191398
income,income__c0p20__lognormal__biased__random,c,0.2,200,lognormal,17897,0.02045035480806839,0.9795496451919317,0.6983852042241716,211826,179144,32682,0.15428700914901852,11.835838408671844,10.009722299826787,1.826116108845058,0.05917919204335922,0.050048611499133935,0.009130580544225289
income,income__c0p12__pareto__biased__random,c,0.12,200,pareto,10857,0.3489914340978171,0.6510085659021829,0.20180528691166988,30206,26816,3390,0.11222935840561478,2.7821681864235055,2.4699272358846827,0.3122409505388229,0.013910840932117528,0.012349636179423413,0.0015612047526941146
income,income__c0p14__pareto__biased__random,c,0.14,200,pareto,12615,0.22758620689655173,0.7724137931034483,0.2945699564011098,52198,43275,8923,0.17094524694432736,4.137772493063813,3.4304399524375744,0.7073325406262386,0.020688862465319063,0.017152199762187872,0.0035366627031311933
income,income__c0p16__pareto__biased__random,c,0.16,200,pareto,13651,0.1585964398212585,0.8414035601787415,0.3703025419383195,73981,63637,10344,0.1398196834322326,5.419456450076917,4.661709764852392,0.7577466852245257,0.02709728225038459,0.023308548824261963,0.0037887334261226284
income,income__c0p18__pareto__biased__random,c,0.18,200,pareto,14457,0.11316317354914575,0.8868368264508543,0.47167462129072424,103031,89337,13694,0.13291145383428288,7.12672061976897,6.1794978211247145,0.9472227986442554,0.03563360309884485,0.030897489105623573,0.004736113993221277
income,income__c0p20__pareto__biased__random,c,0.2,200,pareto,15088,0.08404029692470838,0.9159597030752916,0.5997481442205727,145359,122686,22673,0.15597933392497196,9.634080063626723,8.131362672322375,1.502717391304348,0.04817040031813361,0.04065681336161187,0.0075135869565217395
