series_id,source,family,time_quartile,periods,events,event_period_fraction,mean_size,median_size,p90_size,large_event_rate
existing_c020__pareto__biased__random,existing_c020_focus,existing_income_c020,1,3000,626,0.20866666666666667,1.5623003194888179,1.0,3.0,0.0
existing_c020__pareto__biased__random,existing_c020_focus,existing_income_c020,2,3000,2588,0.8626666666666667,3.1839258114374034,3.0,6.0,0.0
existing_c020__pareto__biased__random,existing_c020_focus,existing_income_c020,3,3000,2975,0.9916666666666667,6.596974789915967,6.0,11.0,0.002352941176470588
existing_c020__pareto__biased__random,existing_c020_focus,existing_income_c020,4,3000,3000,1.0,10.432333333333334,10.0,15.0,0.018666666666666668
existing_c020__uniform__biased__random,existing_c020_focus,existing_income_c020,1,3000,2771,0.9236666666666666,3.0747022735474556,3.0,5.0,0.0
existing_c020__uniform__biased__random,existing_c020_focus,existing_income_c020,2,3000,2974,0.9913333333333333,4.583053127101547,4.0,7.0,0.0
existing_c020__uniform__biased__random,existing_c020_focus,existing_income_c020,3,3000,2994,0.998,6.474615898463594,6.0,10.0,0.0
existing_c020__uniform__biased__random,existing_c020_focus,existing_income_c020,4,3000,3000,1.0,8.154,8.0,11.0,0.0
existing_fixed_K20__lognormal,existing_fixed_sweep,existing_fixed,1,2000,1711,0.8555,3.3559322033898304,3.0,6.0,0.0
existing_fixed_K20__lognormal,existing_fixed_sweep,existing_fixed,2,2000,1995,0.9975,7.043107769423559,7.0,11.0,0.0
existing_fixed_K20__lognormal,existing_fixed_sweep,existing_fixed,3,2000,2000,1.0,10.5875,11.0,14.0,0.002
existing_fixed_K20__lognormal,existing_fixed_sweep,existing_fixed,4,2000,2000,1.0,12.796,13.0,16.0,0.0095
existing_fixed_K20__pareto,existing_fixed_sweep,existing_fixed,1,2000,526,0.263,1.585551330798479,1.0,3.0,0.0
existing_fixed_K20__pareto,existing_fixed_sweep,existing_fixed,2,2000,1834,0.917,3.5719738276990185,3.0,6.0,0.0
existing_fixed_K20__pareto,existing_fixed_sweep,existing_fixed,3,2000,1993,0.9965,7.313095835423984,7.0,11.0,0.0
existing_fixed_K20__pareto,existing_fixed_sweep,existing_fixed,4,2000,2000,1.0,10.882,11.0,15.0,0.0065
existing_fixed_K30__lognormal,existing_fixed_sweep,existing_fixed,1,2000,1917,0.9585,6.923317683881064,7.0,12.0,0.003129890453834116
existing_fixed_K30__lognormal,existing_fixed_sweep,existing_fixed,2,2000,2000,1.0,15.4915,15.0,20.0,0.1515
existing_fixed_K30__lognormal,existing_fixed_sweep,existing_fixed,3,2000,2000,1.0,20.505,21.0,25.0,0.632
existing_fixed_K30__lognormal,existing_fixed_sweep,existing_fixed,4,2000,2000,1.0,23.074,23.0,27.0,0.8585
existing_fixed_K30__pareto,existing_fixed_sweep,existing_fixed,1,2000,1039,0.5195,3.0952839268527432,2.0,6.0,0.0
existing_fixed_K30__pareto,existing_fixed_sweep,existing_fixed,2,2000,1997,0.9985,10.13269904857286,10.0,16.0,0.02303455182774161
existing_fixed_K30__pareto,existing_fixed_sweep,existing_fixed,3,2000,2000,1.0,17.9335,18.0,23.0,0.353
existing_fixed_K30__pareto,existing_fixed_sweep,existing_fixed,4,2000,2000,1.0,22.194,22.0,27.0,0.776
