family,scenario_id,scenario_index,n_nodes,money_distribution,control_name,control_value,window,runs,period_count,event_count,runs_with_events,avalanche_occupancy,one_period_wait_fraction,pooled_size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p95_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,unique_default_nodes_within_runs,total_default_occurrences_within_runs,repeated_default_occurrences_within_runs,repeated_default_share
fixed,fixed__N200__K30__pareto__biased__random,41,200,pareto,fixed_k,30.0,early,12,4800,4242,12,0.88375,0.9747044917257683,0.8590838037019436,15.296086751532297,17.0,25.0,27.0,29.0,35,1587,0.3741159830268741,11.522866572371523,3.773220179160773,0.24667879049409733,0.04903347477604903,904.8802083333334,0.8006237185412481,30.0,30.0,2217,64886,62669,0.9658323829485559
fixed,fixed__N200__K30__pareto__biased__random,41,200,pareto,fixed_k,30.0,late,12,4800,4800,12,1.0,1.0,-0.24214318696126175,26.35354166666667,26.0,31.0,32.0,35.0,42,4613,0.9610416666666667,8.649583333333334,17.703958333333333,0.671786682688127,0.0,12.67375,0.9946881286665386,30.0,30.0,2387,126497,124110,0.9811299872724254
income,income__N200__c0p02__lognormal__biased__random,0,200,lognormal,c,0.02,early,12,4800,428,12,0.08916666666666667,0.0985576923076923,-0.0046103183315039705,1.1214953271028036,1.0,2.0,2.0,2.730000000000018,3,0,0.0,1.0420560747663552,0.0794392523364486,0.07083333333333333,0.9579439252336449,386.55895833333335,0.5595312715301511,2.1414583333333335,2.1414583333333335,310,480,170,0.3541666666666667
income,income__N200__c0p02__lognormal__biased__random,0,200,lognormal,c,0.02,late,12,4800,440,12,0.09166666666666666,0.11448598130841121,0.020575066565522923,1.2045454545454546,1.0,2.0,2.0,3.6100000000000136,7,0,0.0,1.0318181818181817,0.17272727272727273,0.14339622641509434,0.9681818181818181,2167.594791666667,0.5132661511709459,2.078333333333333,2.078333333333333,333,530,197,0.37169811320754714
income,income__N200__c0p02__pareto__biased__random,1,200,pareto,c,0.02,early,12,4800,118,12,0.024583333333333332,0.07547169811320754,-0.040337861749945574,1.11864406779661,1.0,1.0,2.0,3.0,3,0,0.0,1.0,0.11864406779661017,0.10606060606060606,1.0,408.701875,0.4128813456892945,2.0575,2.0575,97,132,35,0.26515151515151514
income,income__N200__c0p02__pareto__biased__random,1,200,pareto,c,0.02,late,12,4800,404,12,0.08416666666666667,0.08673469387755102,-0.052647138528245215,1.1683168316831682,1.0,2.0,2.0,3.0,5,0,0.0,1.0148514851485149,0.15346534653465346,0.13135593220338984,0.9851485148514851,2222.5120833333335,0.487797014382669,2.0,2.0,308,472,164,0.3474576271186441
income,income__N200__c0p04__lognormal__biased__random,2,200,lognormal,c,0.04,early,12,4800,1328,12,0.27666666666666667,0.29559270516717323,-0.01584319440105418,1.2191265060240963,1.0,2.0,2.0,3.730000000000018,6,0,0.0,1.1295180722891567,0.08960843373493976,0.07350216182828907,0.8787650602409639,629.7085416666666,0.5903222704538262,4.116875,4.116875,634,1619,985,0.6084002470660902
income,income__N200__c0p04__lognormal__biased__random,2,200,lognormal,c,0.04,late,12,4800,1601,12,0.3335416666666667,0.32976714915040906,0.03454450495488924,1.3266708307307933,1.0,2.0,3.0,4.0,7,0,0.0,1.169269206745784,0.15740162398500937,0.11864406779661017,0.8438475952529669,2382.8733333333334,0.6140196315532948,3.9827083333333335,3.9827083333333335,804,2124,1320,0.6214689265536724
income,income__N200__c0p04__pareto__biased__random,3,200,pareto,c,0.04,early,12,4800,461,12,0.09604166666666666,0.14253897550111358,-0.044986364255177325,1.175704989154013,1.0,2.0,2.0,3.0,6,0,0.0,1.0498915401301518,0.12581344902386118,0.1070110701107011,0.9544468546637744,771.9104166666667,0.4672161828150267,4.214791666666667,4.214791666666667,301,542,241,0.4446494464944649
income,income__N200__c0p04__pareto__biased__random,3,200,pareto,c,0.04,late,12,4800,1495,12,0.31145833333333334,0.3162508428860418,-0.004403433024443152,1.3150501672240802,1.0,2.0,3.0,5.0,8,0,0.0,1.1491638795986623,0.16588628762541807,0.12614445574771108,0.8622073578595317,2704.5716666666667,0.5939003417011244,4.055,4.055,759,1966,1207,0.6139369277721262
