source,scenario_id,family,c,money_distribution,runs,events,mean_events_per_run,run_large_event_rate,event_large_event_rate,mean_event_size,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_defaults,mean_propagated_defaults,propagated_share_of_total_size,propagation_event_rate,multi_initial_event_rate,single_initial_event_rate,mean_periods_completed,mean_time_steps_per_run,mean_time_steps_per_period,median_first_cascade_period,mean_total_credit_issued,mean_final_active_credit,mean_final_net_worth_gini,total_periods,event_period_fraction,wait_equal_1_fraction,wait_median,size_lag1_correlation,early_event_period_fraction,late_event_period_fraction,late_over_early_event_rate,early_mean_event_size,late_mean_event_size,late_over_early_mean_size
new_high_c,income__c0p10__lognormal__biased__random,income,0.1,lognormal,60,15286,254.76666666666668,0.0,0.0,2.814994112259584,2.0,5.0,8.0,16,2.5341488944131885,0.2808452178463954,0.09976760399721125,0.19455711108203586,0.7203977495747743,0.2796022504252257,300.0,3600.9166666666665,12.003055555555557,1.0,3600.9166666666665,1147.1666666666667,0.7773623519680303,18000.0,0.8492222222222222,0.8769867332194929,1.0,0.25051026674728666,0.7471111111111111,0.9513333333333334,1.2733491969066033,2.1124330755502676,3.36673674375146,1.5937720265407502
new_high_c,income__c0p20__lognormal__biased__random,income,0.2,lognormal,60,17894,298.23333333333335,0.9833333333333333,0.09008606236727394,11.971219403151894,12.0,19.0,25.0,32,10.07421482061026,1.8970045825416342,0.1584637720399789,0.7030848329048843,0.9804403710741031,0.01955962892589695,300.0,8031.233333333334,26.770777777777777,1.0,8031.233333333334,523.4833333333333,0.9295811386931246,18000.0,0.9941111111111111,0.9950095323539307,1.0,0.7497536663147351,0.9882222222222222,1.0,1.0119181470654375,8.15336181695525,15.744111111111112,1.930996252168104
new_high_c,income__c0p30__lognormal__biased__random,income,0.3,lognormal,60,17998,299.96666666666664,1.0,0.75880653405934,24.484609401044562,26.0,34.0,40.0,50,17.280586731859096,7.204022669185465,0.2942265711160631,0.9315479497721969,0.999777753083676,0.00022224691632403602,300.0,13138.233333333334,43.79411111111111,1.0,13138.233333333334,216.15,0.9704287404534673,18000.0,0.9998888888888889,0.999888504850039,1.0,0.7773628074451517,0.9997777777777778,1.0,1.0002222716159146,19.568237386085798,29.39988888888889,1.5024290797797655
new_high_c,income__c0p40__lognormal__biased__random,income,0.4,lognormal,60,18000,300.0,1.0,0.9378333333333333,35.708777777777776,37.0,45.0,51.0,62,21.571055555555557,14.137722222222223,0.39591728146518596,0.9879444444444444,0.9999444444444444,5.555555555555556e-05,300.0,18094.033333333333,60.31344444444445,1.0,18094.033333333333,143.31666666666666,0.9802325108895042,18000.0,1.0,1.0,1.0,0.697791294494035,1.0,1.0,1.0,32.21011111111111,39.20744444444444,1.217240273068153
new_high_c,income__c0p50__lognormal__biased__random,income,0.5,lognormal,60,18000,300.0,1.0,0.9932222222222222,46.99583333333333,48.0,56.0,64.0,73,24.913888888888888,22.081944444444446,0.4698702603658717,0.9984444444444445,1.0,0.0,300.0,23947.116666666665,79.82372222222222,1.0,23947.116666666665,95.51666666666667,0.9855411154748671,18000.0,1.0,1.0,1.0,0.5610907086567516,1.0,1.0,1.0,45.22811111111111,48.763555555555556,1.0781691819001458
new_high_c,income__c0p60__lognormal__biased__random,income,0.6,lognormal,60,18000,300.0,1.0,0.9974444444444445,56.44777777777778,57.0,66.0,74.0,83,26.625666666666667,29.822111111111113,0.5283132885853198,0.9996111111111111,1.0,0.0,300.0,29434.633333333335,98.11544444444444,1.0,29434.633333333335,79.68333333333334,0.9876081090751961,18000.0,1.0,1.0,1.0,0.4509976208867949,1.0,1.0,1.0,56.39322222222222,56.50233333333333,1.0019348266832697
new_high_c,income__c0p70__lognormal__biased__random,income,0.7,lognormal,60,18000,300.0,1.0,0.9981111111111111,64.75222222222222,65.0,74.0,82.0,95,27.218944444444446,37.533277777777776,0.5796446282409871,0.9998333333333334,1.0,0.0,300.0,34691.88333333333,115.63961111111111,1.0,34691.88333333333,58.86666666666667,0.989850429521789,18000.0,1.0,1.0,1.0,0.378031376614868,1.0,1.0,1.0,66.422,63.08244444444444,0.9497221469459584
new_high_c,income__c0p80__lognormal__biased__random,income,0.8,lognormal,60,18000,300.0,1.0,0.9996666666666667,72.79805555555555,73.0,83.0,92.0,106,28.8305,43.967555555555556,0.6039660705223354,1.0,1.0,0.0,300.0,40718.01666666667,135.72672222222224,1.0,40718.01666666667,67.93333333333334,0.9899300189311694,18000.0,1.0,1.0,1.0,0.4191253767905117,1.0,1.0,1.0,75.20555555555555,70.39055555555555,0.9359754746251016
new_high_c,income__c0p10__pareto__biased__random,income,0.1,pareto,60,8449,140.81666666666666,0.0,0.0,2.0204757959521835,2.0,4.0,7.0,12,1.7845898922949461,0.23588590365723755,0.11674770077909906,0.15824357912178957,0.4698780920819032,0.5301219079180968,300.0,3544.366666666667,11.814555555555557,56.0,3544.366666666667,1712.1,0.684777710210397,18000.0,0.4693888888888889,0.6913815711050185,1.0,0.25911497497382474,0.20633333333333334,0.7324444444444445,3.5498115239633816,1.4986537425955844,2.1674757281553396,1.4462818638823087
new_high_c,income__c0p20__pareto__biased__random,income,0.2,pareto,60,15186,253.1,0.8666666666666667,0.05485315422099302,9.6659423152904,9.0,18.0,23.0,32,7.863097589885421,1.8028447254049782,0.18651515461178442,0.5942973791650205,0.9182141446068748,0.08178585539312525,300.0,8046.466666666666,26.82155555555556,25.5,8046.466666666666,755.4333333333333,0.9117078011301312,18000.0,0.8436666666666667,0.957754859182864,1.0,0.7887201780347703,0.6873333333333334,1.0,1.454898157129001,5.21742644681539,12.723555555555556,2.438665055512523
new_high_c,income__c0p30__pareto__biased__random,income,0.3,pareto,60,16873,281.21666666666664,1.0,0.6844663071178806,22.2085580513246,25.0,33.0,37.0,44,15.352041723463522,6.85651632786108,0.3087330709186737,0.8724589580987376,0.9663960173057548,0.03360398269424524,300.0,13237.133333333333,44.12377777777777,10.5,13237.133333333333,186.8,0.9743253994522315,18000.0,0.9373888888888889,0.9831083090465711,1.0,0.8515006021995672,0.8747777777777778,1.0,1.143147466023117,14.90372158008383,28.598666666666666,1.9188943186434515
new_high_c,income__c0p40__pareto__biased__random,income,0.4,pareto,60,17644,294.06666666666666,1.0,0.8777488097936976,34.10264112446157,37.0,44.0,50.0,57,19.75470414871911,14.347936975742462,0.420728028758183,0.950634776694627,0.9849807299931989,0.015019270006801179,300.0,18636.9,62.123,4.0,18636.9,102.0,0.9839753071610856,18000.0,0.9802222222222222,0.9948817106460418,1.0,0.8287267835454866,0.9604444444444444,1.0,1.041184636742249,28.34706154558075,39.63055555555555,1.3980481007469319
new_high_c,income__c0p50__pareto__biased__random,income,0.5,pareto,60,17882,298.03333333333336,1.0,0.9512918018118779,45.29096297953249,48.0,55.0,60.0,68,22.52678671289565,22.76417626663684,0.502620716563793,0.9841740297505872,0.9975953472765909,0.0024046527234090147,300.0,24089.25,80.2975,3.0,24089.25,70.23333333333333,0.9881478344249341,18000.0,0.9934444444444445,0.9995511165974638,1.0,0.7478429004196065,0.9868888888888889,1.0,1.013285296104481,42.22934023868498,48.312444444444445,1.1440492361797998
new_high_c,income__c0p60__pareto__biased__random,income,0.6,pareto,60,17929,298.81666666666666,1.0,0.9874504991912544,55.27357911763065,56.0,64.0,70.0,81,24.211222042500975,31.06235707512968,0.5619747729566095,0.9957610575046015,0.9984940599029505,0.001505940097049473,300.0,29520.383333333335,98.40127777777776,2.0,29520.383333333335,58.53333333333333,0.9901484395592319,18000.0,0.9960555555555556,1.0,1.0,0.5531549881923246,0.9921111111111112,1.0,1.0079516183223205,54.79840967633554,55.745,1.0172740473538457
new_high_c,income__c0p70__pareto__biased__random,income,0.7,pareto,60,17948,299.1333333333333,1.0,0.9942611990193894,63.77718965901493,64.0,73.0,80.0,91,24.580398930242925,39.19679072877201,0.614589494117534,0.9976599063962559,0.9991642522843771,0.0008357477156229106,300.0,34581.15,115.2705,2.0,34581.15,42.516666666666666,0.9916709163884445,18000.0,0.9971111111111111,1.0,1.0,0.3998313848492918,0.9942222222222222,1.0,1.005811354492624,65.36589181940099,62.19766666666667,0.9515309121538832
new_high_c,income__c0p80__pareto__biased__random,income,0.8,pareto,60,17955,299.25,1.0,0.9961013645224172,71.50058479532164,72.0,82.0,90.45999999999913,113,25.429406850459483,46.07117794486216,0.6443468690045825,0.9988304093567252,0.999443052074631,0.000556947925368978,300.0,40167.96666666667,133.89322222222222,2.0,40167.96666666667,43.05,0.9921627873692379,18000.0,0.9975,1.0,1.0,0.4108403681103154,0.995,1.0,1.0050251256281406,74.01987716359575,68.99388888888889,0.9320994783117699
