scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,protocol,fit_status,alpha,bootstrap_p,bounded_alpha,bounded_bootstrap_p,pl_vs_exponential_R,pl_vs_lognormal_R,gate_event_count,gate_not_saturated,gate_has_transition,gate_propagation,gate_tail_plausible,gate_alternative_not_better,soc_screen_score,quick_soc_candidate
critical__base0001__c-0p525__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.525,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5416666666666666,240.0,114143.04166666669,119.66666666666669,2872,119.66666666666669,0.4986111111111111,0.0055710306406685,2.185933147632312,0.0182161095636025,1.0,4.0,10.0,24,1.3642061281337048,0.8217270194986073,0.3759158967824147,0.6240841032175852,3162.0,19332.625,0.3145657990978576,0.2849050267266506,119.0,1.0,0.0,period_end_critical_refined,ok,4.402994021857605,0.5238095238095238,4.400379092272129,0.6190476190476191,0.5131309194623794,-0.33940384829056836,True,True,False,True,True,True,5,True
critical__base0009__c-0p500__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.5,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.375,240.0,89902.75,84.375,2025,84.375,0.3515625,0.0044444444444444,1.9165432098765431,0.0159711934156378,1.0,4.0,9.0,27,1.2182716049382716,0.6982716049382716,0.3643390878639526,0.6356609121360474,1673.8333333333333,23671.70833333333,0.2771504180417083,0.2731804690103555,119.0,1.0,0.0,period_end_critical_refined,ok,3.3490473332617827,0.09523809523809523,3.3439056369265234,0.14285714285714285,3.8148597252562775,-2.141186528986065,True,True,False,True,True,True,5,True
critical__base0044__c-0p400__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.4,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,18021.291666666668,225.375,5409,225.375,0.9390625,0.8848215936402293,29.48141985579589,0.2456784987982991,33.0,41.0,46.0,51,18.285265298576448,11.19615455721945,0.3797698554541749,0.6202301445458251,1426.1666666666667,174.33333333333334,0.0,0.9652884837962964,24.0,0.2029284145964608,0.1795943375010693,period_end_critical_refined,ok,33.85529466214781,0.09523809523809523,33.85529371701244,0.2857142857142857,-0.17405904625985058,-0.4321860737725398,True,False,True,True,True,False,4,False
critical__base0053__c-0p400__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.4,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,18162.791666666668,222.83333333333331,5348,222.83333333333331,0.9284722222222224,0.881077038145101,29.12154076290202,0.2426795063575168,32.0,41.0,46.0,55,17.93362004487659,11.18792071802543,0.3841802468184561,0.6158197531815438,1721.0416666666667,219.125,0.0,0.9634438657407408,119.0,1.0,0.0,period_end_critical_refined,ok,23.987963183515788,0.3333333333333333,23.987963030724288,0.3333333333333333,-0.6955909937236526,-1.2120549889090517,True,False,True,True,True,False,4,False
critical__base0071__c-0p300__money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,0.3,120,pareto,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,11710.625,229.5,5508,229.5,0.95625,0.8803558460421206,24.354938271604937,0.2029578189300411,27.0,34.0,38.0,43,14.272512708787218,10.08242556281772,0.413978695013679,0.586021304986321,685.0,97.75,0.3140974168676054,0.9762108983060604,119.0,1.0,0.0,period_end_critical_refined,ok,21.5127449871807,0.2857142857142857,21.512746758748385,0.47619047619047616,-1.1572004682895591,-2.141570612225399,True,False,True,True,True,False,4,False
critical__base0043__c-0p375__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.375,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,16679.666666666668,224.16666666666663,5380,224.16666666666663,0.9340277777777778,0.8661710037174721,26.94256505576208,0.224521375464684,30.0,38.0,43.0,50,17.481226765799256,9.461338289962825,0.351166946071431,0.6488330539285689,1418.5833333333333,212.91666666666663,0.0,0.9595101273148148,24.0,0.2008767961053028,0.181405377792636,period_end_critical_refined,ok,25.974105848068387,0.7142857142857143,25.974104268624295,0.7619047619047619,-0.15043602117650545,-0.17263131664014253,True,False,True,True,True,False,4,False
critical__base0062__c-0p300__money-pareto__income-biased__growth-random__spend-high_income__topo-complete,money-pareto__income-biased__growth-random__spend-high_income__topo-complete,0.3,120,pareto,biased,random,high_income,0.02,0.4,complete,complete,0,24,1.0,1.0,240.0,9377.791666666666,231.29166666666663,5551,231.29166666666663,0.9637152777777778,0.8477751756440282,19.291839308232756,0.1607653275686062,21.0,27.0,31.0,35,12.511259232570708,6.7805800756620425,0.3514740076011541,0.6485259923988458,668.6666666666666,111.16666666666669,0.3049393699349896,0.9723930340489814,119.0,1.0,0.0,period_end_critical_refined,ok,23.844555331253346,0.5714285714285714,23.84455387014274,0.47619047619047616,-0.5952108432960657,-1.4325818601870983,True,False,True,True,True,False,4,False
critical__base0070__c-0p275__money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,0.275,120,pareto,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,10621.75,227.66666666666663,5464,227.66666666666663,0.9486111111111112,0.83601756954612,21.65245241581259,0.1804371034651049,24.0,31.0,36.0,42,13.26464128843338,8.387811127379209,0.3873838845734475,0.6126161154265525,655.0833333333334,103.625,0.3124427928167037,0.9753756327460836,119.0,1.0,0.0,period_end_critical_refined,ok,20.543650750742575,0.14285714285714285,20.543653760595113,0.14285714285714285,-1.0585640494536923,-2.4859923756892153,True,False,True,True,True,False,4,False
critical__base0042__c-0p350__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.35,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,15321.625,219.79166666666663,5275,219.79166666666663,0.9157986111111112,0.8346919431279621,24.454976303317537,0.2037914691943128,27.0,36.0,41.0,46,16.351469194312795,8.10350710900474,0.3313643410852713,0.6686356589147286,1363.375,214.95833333333331,0.0,0.9550043402777778,24.0,0.2024254091943996,0.1756944313287357,period_end_critical_refined,ok,30.051430906353293,0.8095238095238095,30.051432787162632,0.9047619047619048,-0.21548571612190037,-0.5045446168429661,True,False,True,True,True,False,4,False
critical__base0051__c-0p350__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.35,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,15435.333333333334,216.70833333333331,5201,216.70833333333331,0.9029513888888888,0.8294558738704095,23.747356277638914,0.1978946356469909,27.0,36.0,41.0,47,15.943087867717749,7.804268409921169,0.3286373572990041,0.6713626427009959,1582.7083333333333,334.0833333333333,0.0,0.9484039351851852,119.0,1.0,0.0,period_end_critical_refined,ok,24.140605506397716,0.5238095238095238,24.140604583404606,0.3333333333333333,-0.5425582024485098,-1.2996643288039547,True,False,True,True,True,False,4,False
